SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,December-27-2024,Single Family Residential,2471 Columbine Dr,Alpine,CA,91901,950000,3,2.0,Alpine,1658,5278,1996,,573,215,Sold,,,https://www.redfin.com/CA/Alpine/2471-Columbine-Dr-91901/home/5105266,SDMLS,240026031,N,Y,32.8451208,-116.7788043
PAST SALE,December-20-2024,Single Family Residential,2954 Sage View Dr,Alpine,CA,91901,825000,4,2.5,Alpine,2160,,1992,,382,,Sold,,,https://www.redfin.com/CA/Alpine/2954-Sage-View-Dr-91901/home/5111654,SDMLS,240028687,N,Y,32.831862,-116.7506118
PAST SALE,,Single Family Residential,3628 E Victoria Dr,Alpine,CA,91901,1050000,3,2.0,,1898,74923,1986,,553,,,,,https://www.redfin.com/CA/Alpine/3628-E-Victoria-Dr-91901/home/5111603,,,N,Y,32.8368924,-116.7487648
PAST SALE,February-14-2025,Single Family Residential,1728 Rancho Judith,Alpine,CA,91901,1550000,3,3.5,Alpine,2700,87120,1995,,574,85,Sold,,,https://www.redfin.com/CA/Alpine/1728-Rancho-Judith-91901/home/5113861,SDMLS,250001013,N,Y,32.8278545,-116.7847707
PAST SALE,December-20-2024,Single Family Residential,2462 Willits Rd,Alpine,CA,91901,1250000,4,3.0,Alpine,3059,187743,1997,,409,,Sold,,,https://www.redfin.com/CA/Alpine/2462-Willits-Rd-91901/home/5724903,SDMLS,240026974,N,Y,32.8146439,-116.7994186
PAST SALE,December-31-2024,Condo/Co-op,1434 Marshall Rd #1,Alpine,CA,91901,555000,3,2.0,Alpine,1440,95690,1995,,385,452,Sold,,,https://www.redfin.com/CA/Alpine/1434-Marshall-Rd-91901/unit-1/home/12158214,SDMLS,240026949,N,Y,32.8344887,-116.7659657
PAST SALE,February-4-2025,Single Family Residential,2651 Columbine Rd,Alpine,CA,91901,795000,3,2.0,91901 - Alpine,1472,7338,1998,,540,245,Sold,,,https://www.redfin.com/CA/Alpine/2651-Columbine-Rd-91901/home/5105416,CRMLS,PTP2500054,N,Y,32.8457746,-116.77448
PAST SALE,January-21-2025,Single Family Residential,2351 Eltinge Dr,Alpine,CA,91901,625000,3,2.0,Alpine,1908,9584,1972,,328,,Sold,,,https://www.redfin.com/CA/Alpine/2351-Eltinge-Dr-91901/home/5108356,SDMLS,240028932,N,Y,32.8338243,-116.7640635
PAST SALE,February-26-2025,Single Family Residential,208 Alicia Way,Alpine,CA,91901,1982000,4,3.5,91901 - Alpine,4987,165092,2012,,397,,Sold,,,https://www.redfin.com/CA/Alpine/208-Alicia-Way-91901/home/80140840,CRMLS,PTP2500029,N,Y,32.8243547,-116.8138206
PAST SALE,March-5-2025,Single Family Residential,2211 Tavern Rd,Alpine,CA,91901,826000,4,2.5,Alpine,2017,27007,1980,,410,8,Sold,,,https://www.redfin.com/CA/Alpine/2211-Tavern-Rd-91901/home/6415079,SDMLS,250001496,N,Y,32.8206776,-116.7744415
PAST SALE,March-3-2025,Single Family Residential,2524 Camino De Los Aves,Alpine,CA,91901,1280000,4,3.5,Alpine,2745,45302,1990,,466,,Sold,,,https://www.redfin.com/CA/Alpine/2524-Camino-de-los-Aves-91901/home/5726805,SDMLS,250017200,N,Y,32.8143941,-116.7842879
PAST SALE,January-23-2025,Single Family Residential,1863 TAVERN Ct,Alpine,CA,91901,935000,4,2.5,91901 - Alpine,2238,5987,1996,,418,,Sold,,,https://www.redfin.com/CA/Alpine/1863-Tavern-Ct-91901/home/5110614,CRMLS,PTP2406925,N,Y,32.833259,-116.7765622
PAST SALE,February-3-2025,Townhouse,2636 Alpine Blvd Unit A,Alpine,CA,91901,512000,3,2.5,Alpine,1240,90248,1982,,413,437,Sold,,,https://www.redfin.com/CA/Alpine/2636-Alpine-Blvd-91901/unit-A/home/6585791,SDMLS,240027717,N,Y,32.8350559,-116.7564815
PAST SALE,February-21-2025,Single Family Residential,1776 Panettah Dr,Alpine,CA,91901,1249000,5,3.5,91901 - Alpine,3990,74052,1989,,313,,Sold,,,https://www.redfin.com/CA/Alpine/1776-Panettah-Dr-91901/home/5114710,CRMLS,PTP2407497,N,Y,32.8284013,-116.7952759
PAST SALE,December-16-2024,Single Family Residential,8841 Summerhill,Alpine,CA,91901,998900,4,2.0,Alpine,2109,,1991,,474,129,Sold,,,https://www.redfin.com/CA/Alpine/8841-Summerhill-Pt-91901/home/5109847,SDMLS,240025590,N,Y,32.8333276,-116.8120819
PAST SALE,December-13-2024,Townhouse,2636 Alpine Blvd Unit C,Alpine,CA,91901,509900,3,1.5,Alpine,1240,90248,1982,,411,437,Sold,,,https://www.redfin.com/CA/Alpine/2636-Alpine-Blvd-91901/unit-C/home/6585797,SDMLS,240022374,N,Y,32.8350559,-116.7564815
PAST SALE,,Condo/Co-op,2183 Alpine Glen Pl,Alpine,CA,91901,535000,2,2.0,,1116,,1981,,479,,,,,https://www.redfin.com/CA/Alpine/2183-Alpine-Glen-Pl-91901/home/5107832,,,N,Y,32.836734,-116.7673424
PAST SALE,February-24-2025,Single Family Residential,2994 N VICTORIA Dr,Alpine,CA,91901,825000,3,2.5,91901 - Alpine,1584,46609,1985,,521,,Sold,,,https://www.redfin.com/CA/Alpine/2994-N-Victoria-Dr-91901/home/5103391,CRMLS,PTP2407634,N,Y,32.8492019,-116.7552848
PAST SALE,February-3-2025,Single Family Residential,2976 River Shadow Ct,Alpine,CA,91901,800000,4,2.5,Alpine,1938,,1999,,413,80,Sold,,,https://www.redfin.com/CA/Alpine/2976-River-Shadow-Ct-91901/home/5116612,SDMLS,240028442,N,Y,32.8337916,-116.7521772
PAST SALE,December-10-2024,Single Family Residential,2958 Verde View Rd,Alpine,CA,91901,915000,3,2.0,91901 - Alpine,1680,25264,1978,,545,,Sold,,,https://www.redfin.com/CA/Alpine/2958-Verde-View-Rd-91901/home/5113556,CRMLS,PTP2405308,N,Y,32.8259321,-116.7489314
PAST SALE,February-20-2025,Single Family Residential,2348 Villa Zapata,Alpine,CA,91901,895000,3,2.0,Alpine,1534,49658,1983,,583,,Sold,,,https://www.redfin.com/CA/Alpine/2348-Villa-Zapata-91901/home/5112872,SDMLS,240027563,N,Y,32.8170064,-116.7836889
PAST SALE,December-13-2024,Single Family Residential,2532 Quail Creek Pl,Alpine,CA,91901,1171000,4,2.5,91901 - Alpine,2463,92347,2000,,475,,Sold,,,https://www.redfin.com/CA/Alpine/2532-Quail-Creek-Pl-91901/home/5106335,CRMLS,PTP2406196,N,Y,32.8431875,-116.7710526
PAST SALE,January-24-2025,Single Family Residential,2268 Marquand Ct,Alpine,CA,91901,1050000,5,3.0,Alpine,3092,10757,2005,,340,,Sold,,,https://www.redfin.com/CA/Alpine/2268-Marquand-Ct-91901/home/7515814,SDMLS,240025340,N,Y,32.8331992,-116.7667508
PAST SALE,December-27-2024,Single Family Residential,295 ARNOLD Way,Alpine,CA,91901,999000,4,3.0,91901 - Alpine,2370,87120,1985,,422,,Sold,,,https://www.redfin.com/CA/Alpine/295-Arnold-Way-91901/home/5102983,CRMLS,PTP2405686,N,Y,32.8458689,-116.8105475
PAST SALE,January-9-2025,Single Family Residential,2094 Via Del Torrie,Alpine,CA,91901,1045000,4,3.5,Alpine,3049,,1990,,343,140,Sold,,,https://www.redfin.com/CA/Alpine/2094-Via-del-Torrie-91901/home/5115986,SDMLS,240022914,N,Y,32.819183,-116.7712984
PAST SALE,,Vacant Land,2145 Corte Maria,Alpine,CA,91901,3272000,,,,,246550,,,,,,,,https://www.redfin.com/CA/Alpine/2145-Corte-Maria-91901/home/22749678,,,N,Y,32.803194,-116.768079
PAST SALE,February-13-2025,Single Family Residential,438 Arnold Way,Alpine,CA,91901,1079000,6,3.0,91901 - Alpine,3159,36101,2018,,342,,Sold,,,https://www.redfin.com/CA/Alpine/438-Arnold-Way-91901/home/5106175,CRMLS,PTP2405258,N,Y,32.8427296,-116.8049328
PAST SALE,February-26-2025,Single Family Residential,2121 Ranchito Ln,Alpine,CA,91901,1250000,4,2.5,91901 - Alpine,2883,47916,1985,,434,,Sold,,,https://www.redfin.com/CA/Alpine/2121-Ranchito-Ln-91901/home/5112129,CRMLS,PTP2405363,N,Y,32.8201107,-116.7917607
PAST SALE,,Single Family Residential,860 Midway Dr,Alpine,CA,91901,950000,2,3.0,,2280,87991,2007,,417,,,,,https://www.redfin.com/CA/Alpine/860-Midway-Dr-91901/home/12137534,,,N,Y,32.840338,-116.7962252
