SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,357 Crestview Dr,Bonita,CA,91902,1500000,4,3.0,,2895,22651,1989,,518,,,,,https://www.redfin.com/CA/Bonita/357-Crestview-Dr-91902/home/6083863,,,N,Y,32.6606346,-117.0045623
PAST SALE,February-7-2025,Condo/Co-op,4201 Bonita Rd #242,Bonita,CA,91902,425000,2,2.0,91902 - Bonita,1150,,1970,,370,545,Sold,,,https://www.redfin.com/CA/Bonita/4201-Bonita-Rd-91902/unit-242/home/6073711,CRMLS,PTP2500677,N,Y,32.6601048,-117.0376754
PAST SALE,February-5-2025,Single Family Residential,3875 Grandview Pl,Bonita,CA,91902,930000,3,2.0,Bonita,1328,43560,1953,,700,,Sold,,,https://www.redfin.com/CA/Bonita/3875-Grandview-Pl-91902/home/5959829,SDMLS,250000311,N,Y,32.6516221,-117.061879
PAST SALE,February-6-2025,Single Family Residential,514 Camino Elevado,Bonita,CA,91902,1354000,4,3.5,Bonita,2387,10125,1975,,567,,Sold,,,https://www.redfin.com/CA/Bonita/514-Camino-Elevado-91902/home/6080760,SDMLS,250000125,N,Y,32.6521599,-117.0112689
PAST SALE,December-27-2024,Condo/Co-op,2920 Briarwood Rd Unit H9,Bonita,CA,91902,515000,2,1.5,91902 - Bonita,1154,271078,1980,,446,369,Sold,,,https://www.redfin.com/CA/Bonita/2920-Briarwood-Rd-91902/unit-H9/home/6057095,CRMLS,PTP2406931,N,Y,32.6797514,-117.0303496
PAST SALE,December-30-2024,Single Family Residential,5223 Aleman Pl,Bonita,CA,91902,1000000,4,3.0,Bonita,2377,,1964,,421,,Sold,,,https://www.redfin.com/CA/Bonita/5223-Aleman-Pl-91902/home/6064458,SDMLS,240027754,N,Y,32.6716072,-117.0183735
PAST SALE,,Single Family Residential,4943 Golfglen Rd,Bonita,CA,91902,1278000,4,2.0,,2002,21780,1973,,638,,,,,https://www.redfin.com/CA/Bonita/4943-Golfglen-Rd-91902/home/6074857,,,N,Y,32.6649825,-117.0228721
PAST SALE,December-13-2024,Single Family Residential,3159 Crela St,Bonita,CA,91902,890000,3,2.0,91902 - Bonita,1728,10708,1971,,515,,Sold,,,https://www.redfin.com/CA/Bonita/3159-Crela-St-91902/home/5962326,CRMLS,PTP2406870,N,Y,32.6565353,-117.0589509
PAST SALE,December-31-2024,Single Family Residential,353 Camino Elevado,Bonita,CA,91902,1200000,4,2.0,Bonita,2308,27878,1971,,520,,Sold,,,https://www.redfin.com/CA/Bonita/353-Camino-Elevado-91902/home/6074474,SDMLS,240025322,N,Y,32.6556748,-117.0225596
PAST SALE,February-14-2025,Single Family Residential,5359 Robinwood Rd,Bonita,CA,91902,990000,3,2.0,91902 - Bonita,2065,21780,1979,,479,,Sold,,,https://www.redfin.com/CA/Bonita/5359-Robinwood-Rd-91902/home/6067099,CRMLS,PTP2500412,N,Y,32.6847069,-117.0242019
PAST SALE,December-13-2024,Single Family Residential,5660 Loping Ln,Bonita,CA,91902,1250000,4,2.0,91902 - Bonita,2107,10454,1975,,593,28,Sold,,,https://www.redfin.com/CA/Bonita/5660-Loping-Ln-91902/home/6065700,CRMLS,NDP2409562,N,Y,32.6673383,-117.0061918
PAST SALE,February-14-2025,Single Family Residential,3609 Pradera Pl,Bonita,CA,91902,1730000,6,4.5,Bonita,3275,26571,1958,,528,,Sold,,,https://www.redfin.com/CA/Bonita/3609-Pradera-Pl-91902/home/6068275,SDMLS,250000145,N,Y,32.6589426,-117.0500073
PAST SALE,January-2-2025,Single Family Residential,1362 Corona Vis,Bonita,CA,91902,1650000,3,3.5,Bonita,3527,,1990,,468,325,Sold,,,https://www.redfin.com/CA/Bonita/1362-Corona-Vis-91902/home/6084753,SDMLS,240027280,N,Y,32.6528574,-117.0092498
PAST SALE,December-31-2024,Single Family Residential,4435 Acacia Ave,Bonita,CA,91902,1200000,4,2.0,91902 - Bonita,2000,17859,1959,,600,,Sold,,,https://www.redfin.com/CA/Bonita/4435-Acacia-Ave-91902/home/6078617,CRMLS,PTP2407316,N,Y,32.6568222,-117.0104119
PAST SALE,February-7-2025,Single Family Residential,5067 Glen Verde Dr,Bonita,CA,91902,998000,4,2.0,91902 - Bonita,1960,10837,1970,,509,,Sold,,,https://www.redfin.com/CA/Bonita/5067-Glen-Verde-Dr-91902/home/6079911,CRMLS,PTP2500065,N,Y,32.6677381,-117.0204197
PAST SALE,February-4-2025,Single Family Residential,3966 CORRAL CANYON Rd,Bonita,CA,91902,1340000,4,2.0,91902 - Bonita,2204,11446,1976,,608,45,Sold,,,https://www.redfin.com/CA/Bonita/3966-Corral-Canyon-Rd-91902/home/6066012,CRMLS,PTP2500196,N,Y,32.6661878,-117.0033904
