SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Vacant Land,29510 Oak Dr,Campo,CA,91906,95000,,,,,25265,,,,,,,,https://www.redfin.com/CA/Campo/29510-Oak-Dr-91906/home/22415569,,,N,Y,32.679431,-116.510526
PAST SALE,December-12-2024,Single Family Residential,32343 Evening Primrose Trl,Campo,CA,91906,515000,3,2.0,91906 - Campo,1432,5662,2007,,360,135,Sold,,,https://www.redfin.com/CA/Campo/32343-Evening-Primrose-Trl-91906/home/7386185,CRMLS,PTP2406686,N,Y,32.618117,-116.4595766
PAST SALE,January-30-2025,Single Family Residential,1227 Buckwheat Trl,Campo,CA,91906,485000,3,2.0,Campo,1628,,2005,,298,135,Sold,,,https://www.redfin.com/CA/Campo/1227-Buckwheat-Trl-91906/home/7386203,SDMLS,240028827,N,Y,32.6203988,-116.4652376
PAST SALE,January-13-2025,Vacant Land,Oak Dr,Campo,CA,91906,90000,0,,Campo,,25264,,,,,Sold,,,https://www.redfin.com/CA/Campo/Oak-Dr-91906/home/22258291,SDMLS,240027741,N,Y,32.679541,-116.504294
PAST SALE,February-20-2025,Single Family Residential,1338 Buckwheat Trl,Campo,CA,91906,550000,4,2.0,91906 - Campo,1879,6342,2005,,293,135,Sold,,,https://www.redfin.com/CA/Campo/1338-Buckwheat-Trl-91906/home/7467296,CRMLS,PTP2500361,N,Y,32.6231305,-116.46431
PAST SALE,December-13-2024,Vacant Land,33086 Royal Willie Rd,Campo,CA,91906,141750,0,,Campo,,915631,,,,,Sold,,,https://www.redfin.com/CA/Campo/33086-Royal-Willie-Rd-91906/home/162571655,SDMLS,240024758,N,Y,32.6451472,-116.4361365
PAST SALE,March-4-2025,Single Family Residential,30027 Quail Rd,Campo,CA,91906,390000,1,1.0,Campo,540,6447,1947,,722,,Sold,,,https://www.redfin.com/CA/Campo/30027-Quail-Rd-91906/home/6110541,SDMLS,250000370,N,Y,32.678921,-116.5006603
PAST SALE,January-29-2025,Single Family Residential,32140 Evening Primrose Trl,Campo,CA,91906,520000,4,2.0,91906 - Campo,1879,5877,2005,,277,135,Sold,,,https://www.redfin.com/CA/Campo/32140-Evening-Primrose-Trl-91906/home/7386131,CRMLS,PTP2407245,N,Y,32.6197975,-116.4625118
PAST SALE,February-20-2025,Single Family Residential,2165 Lake Morena Dr,Campo,CA,91906,550000,3,2.0,Campo,1292,171190,1983,,426,,Sold,,,https://www.redfin.com/CA/Campo/2165-Lake-Morena-Dr-91906/home/6110856,SDMLS,240027488,N,Y,32.6699849,-116.5010576
PAST SALE,December-30-2024,Single Family Residential,2514 Gladiola Dr,Campo,CA,91906,389000,1,1.0,Campo,576,7593,1969,,675,,Sold,,,https://www.redfin.com/CA/Campo/2514-Gladiola-Dr-91906/home/6109595,SDMLS,240023968,N,Y,32.683495,-116.5129593
PAST SALE,February-3-2025,Single Family Residential,1113 Coast Oak Trl,Campo,CA,91906,480000,3,2.0,91906 - Campo,1400,4796,2018,,343,135,Sold,,,https://www.redfin.com/CA/Campo/1113-Coast-Oak-Trl-91906/home/22770097,CRMLS,PTP2405871,N,Y,32.616555,-116.4626897
PAST SALE,December-20-2024,Single Family Residential,2448 Bass Rd,Campo,CA,91906,485000,3,3.0,Campo,1793,10454,1978,,270,,Sold,,,https://www.redfin.com/CA/Campo/2448-Bass-Rd-91906/home/6110305,CRMLS,ND24139843,N,Y,32.6812315,-116.5052528
PAST SALE,February-24-2025,Single Family Residential,30096 Quail Rd,Campo,CA,91906,560000,3,3.0,91906 - Campo,1980,121968,2003,,283,,Sold,,,https://www.redfin.com/CA/Campo/30096-Quail-Rd-91906/home/17211899,CRMLS,PTP2404834,N,Y,32.6793984,-116.4969573
PAST SALE,December-20-2024,Single Family Residential,29816 Ruddy Dr,Campo,CA,91906,480000,2,2.0,91906 - Campo,1526,17550,1950,,315,,Sold,,,https://www.redfin.com/CA/Campo/29816-Ruddy-Dr-91906/home/22718950,CRMLS,PTP2402264,N,Y,32.6819579,-116.5044266
PAST SALE,February-11-2025,Single Family Residential,30126 Oak Dr,Campo,CA,91906,850000,2,2.0,91906 - Campo,1288,282268,2003,,660,,Sold,,,https://www.redfin.com/CA/Campo/30126-Oak-Dr-91906/home/6110674,CRMLS,PTP2403160,N,Y,32.6837681,-116.4997009
PAST SALE,February-11-2025,Vacant Land,Far Valley Rd,Campo,CA,91906,115000,0,,Campo,,217800,,,,,Sold,,,https://www.redfin.com/CA/Campo/Far-Valley-Rd-91906/home/22806840,SDMLS,240011095,N,Y,32.622032,-116.426814
PAST SALE,December-23-2024,Vacant Land,Laurel Dr,Campo,CA,91906,55000,0,,Campo,,4013,,,,,Sold,,,https://www.redfin.com/CA/Campo/Laurel-Dr-91906/home/22799576,SDMLS,220027433,N,Y,32.68023,-116.50814
