SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-25-2025,Townhouse,511 Lark,Imperial Beach,CA,91932,750000,2,2.5,91932 - Imperial Beach,1172,,2018,,640,314,Sold,,,https://www.redfin.com/CA/Imperial-Beach/511-Lark-Way-91932/home/167649968,CRMLS,PTP2407394,N,Y,32.5867645,-117.1201575
PAST SALE,,Single Family Residential,1385 5th St,Imperial Beach,CA,91932,777000,3,2.0,,1125,6600,1963,,691,,,,,https://www.redfin.com/CA/Imperial-Beach/1385-5th-St-91932/home/6168132,,,N,Y,32.5713659,-117.122316
PAST SALE,January-23-2025,Multi-Family (2-4 Unit),450-52 8th St,Imperial Beach,CA,91932,1120000,6,3.5,Imperial Beach,2164,7345,1961,,518,,Sold,,,https://www.redfin.com/CA/Imperial-Beach/450-8th-St-91932/home/192918526,SDMLS,240028746,N,Y,32.5895118,-117.1158356
PAST SALE,March-3-2025,Condo/Co-op,524 Heron,Imperial Beach,CA,91932,875000,3,2.5,Imperial Beach,1760,,2018,,497,331,Sold,,,https://www.redfin.com/CA/Imperial-Beach/524-Heron-Ln-91932/home/167649988,SDMLS,250020424,N,Y,32.5864543,-117.1198412
PAST SALE,March-3-2025,Condo/Co-op,509 Turnstone,Imperial Beach,CA,91932,849000,3,2.5,Imperial Beach,1544,,2018,,550,331,Sold,,,https://www.redfin.com/CA/Imperial-Beach/509-Turnstone-Ln-91932/home/167649907,SDMLS,250020423,N,Y,32.58712,-117.119178
PAST SALE,February-28-2025,Multi-Family (2-4 Unit),776-78 Calla Ave,Imperial Beach,CA,91932,1030000,4,2.0,91932 - Imperial Beach,1400,6518,1945,,736,,Sold,,,https://www.redfin.com/CA/Imperial-Beach/776-Calla-Ave-91932/home/190737577,CRMLS,PTP2500794,N,Y,32.5857712,-117.1160937
PAST SALE,February-5-2025,Townhouse,211 Dahlia Ave Unit M,Imperial Beach,CA,91932,645000,2,2.5,Imperial Beach,1116,,1991,,578,300,Sold,,,https://www.redfin.com/CA/Imperial-Beach/211-Dahlia-Ave-91932/unit-M/home/6141352,SDMLS,250000459,N,Y,32.5828864,-117.1291566
PAST SALE,January-27-2025,Townhouse,520 Surfbird Ln,Imperial Beach,CA,91932,849000,3,2.5,Imperial Beach,1646,,2018,,516,331,Sold,,,https://www.redfin.com/CA/Imperial-Beach/520-Surfbird-Ln-91932/home/145320616,SDMLS,250000452,N,Y,32.5866657,-117.1189429
PAST SALE,February-11-2025,Condo/Co-op,1442 Seacoast Dr #5,Imperial Beach,CA,91932,1349000,3,2.0,Imperial Beach,1693,10932,1992,,797,585,Sold,,,https://www.redfin.com/CA/Imperial-Beach/1442-Seacoast-Dr-91932/unit-5/home/6166884,SDMLS,250000167,N,Y,32.5706428,-117.132433
