SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-28-2025,Single Family Residential,16123 Lyons Valley Rd,Jamul,CA,91935,700000,4,2.5,Jamul,2084,405544,1991,,336,,Sold,,,https://www.redfin.com/CA/Jamul/16123-Lyons-Valley-Rd-91935/home/7487065,SDMLS,250019350,N,Y,32.7099991,-116.8009894
PAST SALE,,Single Family Residential,3320 Wentworth Way,Jamul,CA,91935,2300000,2,3.0,,4991,16553,1999,,461,,,,,https://www.redfin.com/CA/Jamul/3320-Wentworth-Way-91935/home/5723973,,,N,Y,32.7425532,-116.9017965
PAST SALE,December-13-2024,Single Family Residential,3151 Turnberry Way,Jamul,CA,91935,1925000,5,3.5,91935 - Jamul,3317,12196,1998,,580,476,Sold,,,https://www.redfin.com/CA/Jamul/3151-Turnberry-Way-91935/home/5724266,CRMLS,PTP2406996,N,Y,32.7413066,-116.893816
PAST SALE,December-18-2024,Single Family Residential,16299 Lyons Valley Rd,Jamul,CA,91935,1260000,3,2.5,91935 - Jamul,2446,782773,1986,,515,,Sold,,,https://www.redfin.com/CA/Jamul/16299-Lyons-Valley-Rd-91935/home/171427356,CRMLS,PTP2406637,N,Y,32.7078953,-116.7956263
PAST SALE,February-6-2025,Single Family Residential,13888 Via De Jamul,Jamul,CA,91935,1100000,3,2.0,91935 - Jamul,2526,89298,1984,,435,,Sold,,,https://www.redfin.com/CA/Jamul/13888-Via-de-Jamul-91935/home/6446027,CRMLS,PTP2500199,N,Y,32.7162247,-116.8632268
PAST SALE,March-6-2025,Vacant Land,0 Montiel Truck Trl,Jamul,CA,91935,50000,,,91935 - Jamul,,871200,,,,,Sold,,,https://www.redfin.com/CA/Jamul/Montiel-Truck-Trl-91935/home/5727610,CRMLS,PTP2501000,N,Y,32.774569,-116.783836
PAST SALE,February-25-2025,Single Family Residential,19486 Elena Ln,Jamul,CA,91935,849000,3,2.0,91935 - Jamul,1826,108900,1960,,465,,Sold,,,https://www.redfin.com/CA/Jamul/19486-Elena-Ln-91935/home/6108581,CRMLS,PTP2500036,N,Y,32.6782866,-116.7296068
PAST SALE,January-24-2025,Single Family Residential,14176 Olive Vista Dr,Jamul,CA,91935,550000,3,2.0,91935 - Jamul,640,63162,1950,,859,,Sold,,,https://www.redfin.com/CA/Jamul/14176-Olive-Vista-Dr-91935/home/6104351,CRMLS,PTP2406471,N,Y,32.7226638,-116.866889
PAST SALE,January-8-2025,Single Family Residential,3153 Kemberly Ln,Jamul,CA,91935,1295000,5,3.5,91935 - Jamul,3366,121532,1990,,385,,Sold,,,https://www.redfin.com/CA/Jamul/3153-Kemberly-Ln-91935/home/6105742,CRMLS,PTP2406782,N,Y,32.7215678,-116.8484769
PAST SALE,February-17-2025,Single Family Residential,2362 Deerhorn Springs Ln,Jamul,CA,91935,993000,4,3.0,Jamul,2910,372438,2002,,341,,Sold,,,https://www.redfin.com/CA/Jamul/2362-Deerhorn-Springs-Ln-91935/home/6108937,SDMLS,240028096,N,Y,32.6874998,-116.7498522
