SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Multi-Family (2-4 Unit),6923 Waite Dr #6919,La Mesa,CA,91941,953000,4,2.0,,1794,6098,1980,,531,,,,,https://www.redfin.com/CA/La-Mesa/6923-Waite-Dr-91941/unit-6919/home/5526253,,,N,Y,32.746038,-117.0488336
PAST SALE,February-11-2025,Single Family Residential,7553 Sturgess Ave,La Mesa,CA,91941,725000,3,1.5,91941 - La Mesa,1056,7500,1953,,687,,Sold,,,https://www.redfin.com/CA/La-Mesa/7553-Sturgess-Ave-91941/home/5487058,CRMLS,PTP2501085,N,Y,32.7583222,-117.0338681
PAST SALE,January-16-2025,Single Family Residential,3910 Dorsie Ln,La Mesa,CA,91941,950000,4,2.5,La Mesa,2194,8079,1979,,433,28,Sold,,,https://www.redfin.com/CA/La-Mesa/3910-Dorsie-Ln-91941/home/5653554,SDMLS,240028856,N,Y,32.7510612,-116.948422
PAST SALE,,Single Family Residential,3910 Via Escuda,La Mesa,CA,91941,1020000,3,4.0,,1986,7405,1979,,514,,,,,https://www.redfin.com/CA/La-Mesa/3910-Via-Escuda-91941/home/5653514,,,N,Y,32.7503162,-116.9506829
PAST SALE,February-28-2025,Single Family Residential,4427 Avocado Blvd,La Mesa,CA,91941,1175000,4,2.0,Mount Helix,2450,15900,1956,,480,,Sold,,,https://www.redfin.com/CA/La-Mesa/4427-Avocado-Blvd-91941/home/5634739,SDMLS,250018652,N,Y,32.7594278,-116.9613421
PAST SALE,February-12-2025,Single Family Residential,8049 Prospect Way,La Mesa,CA,91941,1595000,4,2.5,La Mesa,2114,9400,1938,,754,,Sold,,,https://www.redfin.com/CA/La-Mesa/8049-Prospect-Way-91941/home/5490331,SDMLS,250001303,N,Y,32.7607077,-117.0239751
PAST SALE,January-27-2025,Single Family Residential,10058 Mozelle Ln,La Mesa,CA,91941,1199000,4,2.0,Mount Helix,1777,12000,1960,,675,,Sold,,,https://www.redfin.com/CA/La-Mesa/10058-Mozelle-Ln-91941/home/5650159,SDMLS,240029047,N,Y,32.7554201,-116.9776316
PAST SALE,February-5-2025,Single Family Residential,4344 Avon Dr,La Mesa,CA,91941,1325000,3,3.0,La Mesa,1976,7700,1948,,671,,Sold,,,https://www.redfin.com/CA/La-Mesa/4344-Avon-Dr-91941/home/5490699,SDMLS,250000786,N,Y,32.7580013,-117.0260435
PAST SALE,February-6-2025,Single Family Residential,5100 Harmony Ln,La Mesa,CA,91941,905000,4,2.0,91941 - La Mesa,1700,9040,1959,,532,,Sold,,,https://www.redfin.com/CA/La-Mesa/5100-Harmony-Ln-91941/home/5625729,CRMLS,PTP2500323,N,Y,32.7716192,-117.0032862
PAST SALE,February-19-2025,Single Family Residential,10930 Calavo Dr,La Mesa,CA,91941,1475000,4,3.0,91941 - La Mesa,2243,53600,1968,,658,,Sold,,,https://www.redfin.com/CA/La-Mesa/10930-Calavo-Dr-91941/home/5632877,CRMLS,PTP2500619,N,Y,32.7661579,-116.9620583
PAST SALE,February-5-2025,Single Family Residential,4377 Date Ave,La Mesa,CA,91941,1085000,3,3.0,La Mesa,1638,11394,1985,,662,,Sold,,,https://www.redfin.com/CA/La-Mesa/4377-Date-Ave-91941/home/5492385,SDMLS,250001435,N,Y,32.757475,-117.0180671
PAST SALE,March-4-2025,Single Family Residential,7486 Muriel Pl,La Mesa,CA,91941,650000,2,2.0,La Mesa,875,6200,1948,,743,,Sold,,,https://www.redfin.com/CA/La-Mesa/7486-Muriel-Pl-91941/home/5527295,SDMLS,250018713,N,Y,32.7570954,-117.0353769
PAST SALE,February-7-2025,Single Family Residential,3800 Carbo Ct,La Mesa,CA,91941,1070000,3,2.0,La Mesa,1807,8879,1985,,592,,Sold,,,https://www.redfin.com/CA/La-Mesa/3800-Carbo-Ct-91941/home/5528780,SDMLS,250000386,N,Y,32.7481424,-117.0285162
PAST SALE,January-14-2025,Single Family Residential,5125 Verna Way,La Mesa,CA,91941,1500000,3,2.0,Mount Helix,2169,63162,1957,,692,,Sold,,,https://www.redfin.com/CA/La-Mesa/5125-Verna-Way-91941/home/5619559,CRMLS,PW24236278,N,Y,32.7732238,-116.9603341
PAST SALE,December-23-2024,Single Family Residential,4224 Bancroft Dr,La Mesa,CA,91941,440000,2,1.0,La Mesa,892,18295,1950,,493,,Sold,,,https://www.redfin.com/CA/La-Mesa/4224-Bancroft-Dr-91941/home/5641699,SDMLS,240027283,N,Y,32.7564311,-117.0012046
PAST SALE,February-26-2025,Single Family Residential,4770 Garfield St,La Mesa,CA,91941,1290000,4,3.0,La Mesa,2251,,1957,,573,,Sold,,,https://www.redfin.com/CA/La-Mesa/4770-Garfield-St-91941/home/5623555,SDMLS,250017806,N,Y,32.7656528,-117.0059826
PAST SALE,December-30-2024,Single Family Residential,9248 Shirley Dr,La Mesa,CA,91941,1800000,4,3.0,La Mesa,2406,,1953,,748,,Sold,,,https://www.redfin.com/CA/La-Mesa/9248-Shirley-Dr-91941/home/5626887,SDMLS,240027625,N,Y,32.7709359,-116.9974452
PAST SALE,February-21-2025,Single Family Residential,3824 Avocado Blvd,La Mesa,CA,91941,870000,3,2.0,La Mesa,1250,26100,1959,,696,,Sold,,,https://www.redfin.com/CA/La-Mesa/3824-Avocado-Blvd-91941/home/5648068,SDMLS,250001478,N,Y,32.7485455,-116.9623004
