SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-21-2025,Single Family Residential,2714 Nomel Ln,Lemon Grove,CA,91945,725000,3,1.0,Lemon Grove,960,8500,1954,,755,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2714-Nomel-Ln-91945/home/5557218,SDMLS,240028447,N,Y,32.735159,-117.0240538
PAST SALE,,Multi-Family (2-4 Unit),1574 Skyline Dr #76,Lemon Grove,CA,91945,725000,3,2.0,,1468,7840,1948,,494,,,,,https://www.redfin.com/CA/Lemon-Grove/1574-Skyline-Dr-91945/unit-76/home/5993868,,,N,Y,32.7214671,-117.0264768
PAST SALE,,Multi-Family (2-4 Unit),2721 Drew Ln #23,Lemon Grove,CA,91945,675000,2,2.0,,1150,6098,1959,,587,,,,,https://www.redfin.com/CA/Lemon-Grove/2721-Drew-Ln-91945/unit-23/home/5552108,,,N,Y,32.7365062,-117.0409254
PAST SALE,January-22-2025,Vacant Land,2100 Massachusetts Ave,Lemon Grove,CA,91945,75000,0,,Lemon Grove,,,,,,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2100-Massachusetts-Ave-91945/home/194008694,SDMLS,240028767,N,Y,32.7280513,-117.0432538
PAST SALE,,Single Family Residential,7115 San Miguel Ave,Lemon Grove,CA,91945,650000,2,1.0,,848,13700,1948,,767,,,,,https://www.redfin.com/CA/Lemon-Grove/7115-San-Miguel-Ave-91945/home/5552566,,,N,Y,32.7349849,-117.0448714
PAST SALE,March-4-2025,Single Family Residential,8228 Lincoln St,Lemon Grove,CA,91945,830000,3,2.0,91945 - Lemon Grove,1332,8300,1940,,623,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/8228-Lincoln-St-91945/home/5662264,CRMLS,PTP2500928,N,Y,32.7383031,-117.0228016
PAST SALE,December-17-2024,Single Family Residential,7614 Lawford Ct,Lemon Grove,CA,91945,799000,3,2.0,Lemon Grove,1032,8500,1961,,774,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/7614-Lawford-Ct-91945/home/5990523,SDMLS,240027264,N,Y,32.7286648,-117.0344129
PAST SALE,February-24-2025,Single Family Residential,6844 Cedral Pl,Lemon Grove,CA,91945,735000,3,2.0,Lemon Grove,1412,8700,1961,,521,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/6844-Cedral-Pl-91945/home/5554137,SDMLS,250017292,N,Y,32.7367309,-117.0499384
PAST SALE,February-11-2025,Single Family Residential,2120 Massachusetts Ave,Lemon Grove,CA,91945,715000,3,1.0,Lemon Grove,1004,12200,1947,,712,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2120-Massachusetts-Ave-91945/home/5986589,SDMLS,250000340,N,Y,32.728561,-117.0432631
PAST SALE,February-25-2025,Single Family Residential,2752 New Jersey Ave,Lemon Grove,CA,91945,715000,3,1.0,91945 - Lemon Grove,1125,6600,1951,,636,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2752-New-Jersey-Ave-91945/home/5556208,CRMLS,PTP2500535,N,Y,32.7358069,-117.0367432
PAST SALE,January-17-2025,Single Family Residential,2614 Nina Rd,Lemon Grove,CA,91945,735000,3,2.0,Lemon Grove,1320,,1959,,557,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2614-Nina-Rd-91945/home/5552522,SDMLS,240028731,N,Y,32.7339724,-117.0444198
PAST SALE,February-13-2025,Multi-Family (2-4 Unit),7130 Westview Pl,Lemon Grove,CA,91945,1300000,11,8.0,Lemon Grove,4400,9706,1965,,295,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/7130-Westview-Pl-91945/unit-41C/home/5550885,SDMLS,250000133,N,Y,32.7414,-117.0444578
PAST SALE,March-5-2025,Single Family Residential,2423 Edding Dr,Lemon Grove,CA,91945,780000,3,2.0,91945 - Lemon Grove,1136,8600,1967,,687,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2423-Edding-Dr-91945/home/5557855,CRMLS,NDP2500161,N,Y,32.732355,-117.0379175
PAST SALE,January-15-2025,Single Family Residential,2757 Cornelius Pl,Lemon Grove,CA,91945,805000,3,2.0,Lemon Grove,1540,10600,1967,,523,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2757-Cornelius-Pl-91945/home/5551912,SDMLS,240027090,N,Y,32.7360761,-117.0458847
PAST SALE,January-21-2025,Single Family Residential,8095 Golden Ave,Lemon Grove,CA,91945,760000,3,2.0,91945 - Lemon Grove,945,6000,1951,,804,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/8095-Golden-Ave-91945/home/5555254,CRMLS,PTP2407713,N,Y,32.7417251,-117.0248059
PAST SALE,December-23-2024,Single Family Residential,2308 Edgerton Dr,Lemon Grove,CA,91945,850000,4,3.5,Lemon Grove,2661,,1970,,319,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2308-Edgerton-Dr-91945/home/5560177,SDMLS,240027053,N,Y,32.7299007,-117.0320306
PAST SALE,January-22-2025,Single Family Residential,1650 Larwood Rd,Lemon Grove,CA,91945,730000,3,2.0,91945 - Lemon Grove,1215,6600,1958,,601,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/1650-Larwood-Rd-91945/home/5989196,CRMLS,PTP2407673,N,Y,32.7217431,-117.03655
PAST SALE,December-27-2024,Single Family Residential,8435 Golden Ave,Lemon Grove,CA,91945,727000,4,2.0,91945 - Lemon Grove,1242,8600,1961,,585,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/8435-Golden-Ave-91945/home/5662337,CRMLS,PTP2407054,N,Y,32.7376939,-117.0192247
PAST SALE,December-11-2024,Single Family Residential,2751 Dennis Ln,Lemon Grove,CA,91945,850000,4,2.5,91945 - Lemon Grove,2210,15300,1951,,385,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2751-Dennis-Ln-91945/home/5662704,CRMLS,PTP2406481,N,Y,32.7353564,-117.021662
PAST SALE,January-21-2025,Single Family Residential,8287 Panchoy St,Lemon Grove,CA,91945,570000,4,3.0,Lemon Grove,2362,,1927,,241,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/8287-Panchoy-St-91945/home/5993016,SDMLS,240028366,N,Y,32.726814,-117.0218272
PAST SALE,February-28-2025,Townhouse,2079 Berry St,Lemon Grove,CA,91945,460000,2,1.0,Lemon Grove,870,1046,1972,,529,300,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2079-Berry-St-91945/home/5986284,SDMLS,250000421,N,Y,32.7274684,-117.0453891
PAST SALE,,Multi-Family (2-4 Unit),8073 Palm St #75,Lemon Grove,CA,91945,850000,4,2.0,,1800,6098,1958,,472,,,,,https://www.redfin.com/CA/Lemon-Grove/8073-Palm-St-91945/unit-75/home/5558630,,,N,Y,32.73445539035033,-117.02552266345238
PAST SALE,February-3-2025,Single Family Residential,1727 La Corta St,Lemon Grove,CA,91945,627500,3,2.0,Lemon Grove,1225,6200,1959,,512,,Sold,,,https://www.redfin.com/CA/Lemon-Grove/1727-La-Corta-St-91945/home/5988318,SDMLS,240028716,N,Y,32.7231995,-117.0437005
PAST SALE,January-24-2025,Multi-Family (2-4 Unit),2225 Bonita Ct,Lemon Grove,CA,91945,892150,3,3.5,Lemon Grove,1801,,2024,,495,265,Sold,,,https://www.redfin.com/CA/Lemon-Grove/2225-Bonita-Ct-91945/home/192775375,SDMLS,240027211,N,Y,32.729367,-117.039866
