SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-24-2025,Single Family Residential,2058 Pointe Pkwy,Spring Valley,CA,91978,995000,4,2.5,Spring Valley,2577,5723,2002,,386,240,Sold,,,https://www.redfin.com/CA/Spring-Valley/2058-Pointe-Pkwy-91978/home/6291974,SDMLS,250016995,N,Y,32.7159998,-116.9675144
PAST SALE,February-14-2025,Single Family Residential,3188 Fair Acres Ln,Spring Valley,CA,91978,1193000,4,2.5,91978 - Spring Valley,2529,47916,1968,,472,,Sold,,,https://www.redfin.com/CA/Spring-Valley/3188-Fair-Acres-Ln-91978/home/6105348,CRMLS,PTP2500090,N,Y,32.7287206,-116.9145106
PAST SALE,January-7-2025,Single Family Residential,11017 SINGLETREE Ln,Spring Valley,CA,91978,840000,3,2.0,91978 - Spring Valley,1383,11000,1970,,607,,Sold,,,https://www.redfin.com/CA/Spring-Valley/11017-Singletree-Ln-91978/home/5680112,CRMLS,PTP2407327,N,Y,32.7331246,-116.9572972
PAST SALE,December-12-2024,Single Family Residential,10567 Moorpark St,Spring Valley,CA,91978,850000,3,2.5,Spring Valley,1991,5554,1979,,427,190,Sold,,,https://www.redfin.com/CA/Spring-Valley/10567-Moorpark-St-91978/home/5678939,SDMLS,240026649,N,Y,32.7338004,-116.9636949
PAST SALE,February-14-2025,Single Family Residential,10644 Busch St,Spring Valley,CA,91978,907000,5,3.0,Spring Valley,2095,,2020,,433,127,Sold,,,https://www.redfin.com/CA/Spring-Valley/10644-Busch-St-91978/home/170270610,SDMLS,250001195,N,Y,32.7272618,-116.9679771
PAST SALE,,Single Family Residential,3447 Sweetwater Springs Blvd,Spring Valley,CA,91978,575000,3,2.0,,1696,11500,1953,,339,,,,,https://www.redfin.com/CA/Spring-Valley/3447-Sweetwater-Springs-Blvd-91978/home/5673750,,,N,Y,32.7417744,-116.9721457
PAST SALE,March-7-2025,Mobile/Manufactured Home,10767 Jamacha Blvd #88,Spring Valley,CA,91978,193000,3,2.0,91978 - Spring Valley,1440,1423540,1970,,134,,Sold,,,https://www.redfin.com/CA/Spring-Valley/10767-Jamacha-Blvd-91978/unit-88/home/144444179,CRMLS,PTP2500371,N,Y,32.7285728,-116.9607534
PAST SALE,December-19-2024,Mobile/Manufactured Home,10767 Jamacha Blvd #122,Spring Valley,CA,91978,212500,3,2.0,Spring Valley,1368,,1970,,155,1780,Sold,,,https://www.redfin.com/CA/Spring-Valley/10767-Jamacha-Blvd-91978/unit-122/home/17209983,SDMLS,240025149,N,Y,32.7285728,-116.9607534
PAST SALE,February-14-2025,Condo/Co-op,2914 Anawood Way,Spring Valley,CA,91978,557000,3,2.0,91978 - Spring Valley,1059,,1987,,526,487,Sold,,,https://www.redfin.com/CA/Spring-Valley/2914-Anawood-Way-91978/home/5682400,CRMLS,NDP2500574,N,Y,32.734722,-116.959483
PAST SALE,,Condo/Co-op,2902 Elm Tree Ct #44,Spring Valley,CA,91978,550000,3,2.0,,1059,,1986,,519,,,,,https://www.redfin.com/CA/Spring-Valley/2902-Elm-Tree-Ct-91978/unit-44/home/5682150,,,N,Y,32.7329523,-116.9607235
PAST SALE,December-24-2024,Single Family Residential,10637 Rhodes Ln,Spring Valley,CA,91978,917500,5,3.0,Spring Valley,2095,,2021,,438,127,Sold,,,https://www.redfin.com/CA/Spring-Valley/10637-Rhodes-Ln-91978/home/175239659,SDMLS,240026532,N,Y,32.7276938,-116.9673952
PAST SALE,December-24-2024,Condo/Co-op,3023 Charwood Ct,Spring Valley,CA,91978,493000,2,2.0,Spring Valley,916,64352,1985,,538,452,Sold,,,https://www.redfin.com/CA/Spring-Valley/3023-Charwood-Ct-91978/home/5681533,SDMLS,240023919,N,Y,32.7334995,-116.9619483
PAST SALE,December-19-2024,Single Family Residential,10444 Don Pico Rd,Spring Valley,CA,91978,765000,3,2.0,Spring Valley,996,,1956,,768,,Sold,,,https://www.redfin.com/CA/Spring-Valley/10444-Don-Pico-Rd-91978/home/5674240,SDMLS,240025252,N,Y,32.7423396,-116.9672154
