SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,January-2-2025,Condo/Co-op,3170 Club Circle E #21,Borrego Springs,CA,92004,99000,1,1.0,92004 - Borrego Springs,576,,1967,,172,500,Sold,,,https://www.redfin.com/CA/Borrego-Springs/3170-Club-Cir-E-92004/home/193995206,CRMLS,NDP2410702,N,Y,33.2328578,-116.3563764
PAST SALE,March-3-2025,Condo/Co-op,3185 Club Cir W,Borrego Springs,CA,92004,170000,2,2.0,92004 - Borrego Springs,1008,,1980,,169,570,Sold,,,https://www.redfin.com/CA/Borrego-Springs/3185-W-Club-Cir-92004/home/3638064,CRMLS,NDP2502038,N,Y,33.2317489,-116.3569321
PAST SALE,February-21-2025,Vacant Land,1584 Palm Canyon Dr,Borrego Springs,CA,92004,20000,0,,Borrego Springs,,,,,,,Sold,,,https://www.redfin.com/CA/Borrego-Springs/1584-Palm-Canyon-Dr-92004/home/194874988,SDMLS,250019975,N,Y,33.2635398,-116.3392414
PAST SALE,January-21-2025,Townhouse,437 Sun And Shadows Dr,Borrego Springs,CA,92004,190000,1,1.5,Borrego Springs,989,2266,1962,,192,375,Sold,,,https://www.redfin.com/CA/Borrego-Springs/437-Sun-and-Shadows-Dr-92004/home/3635238,SDMLS,240028124,N,Y,33.254963,-116.3870256
PAST SALE,January-17-2025,Condo/Co-op,3158 Club Circle E #42,Borrego Springs,CA,92004,95000,1,1.0,92004 - Borrego Springs,576,,1965,,165,500,Sold,,,https://www.redfin.com/CA/Borrego-Springs/3158-Club-Cir-E-92004/home/183188811,CRMLS,NDP2410703,N,Y,33.2330597,-116.3559499
PAST SALE,December-11-2024,Vacant Land,120 Anzio Dr,Borrego Springs,CA,92004,8000,0,,Borrego Springs,,17542,,,,,Sold,,,https://www.redfin.com/CA/Borrego-Springs/120-Anzio-Dr-92004/home/193556105,SDMLS,240027019,N,Y,33.2077690593542,-116.346664415131
PAST SALE,December-17-2024,Single Family Residential,3471 Yaqui Pass Rd,Borrego Springs,CA,92004,615000,3,2.0,Borrego Springs,1740,,2002,,353,,Sold,,,https://www.redfin.com/CA/Borrego-Springs/3471-Yaqui-Pass-Rd-92004/home/3636576,SDMLS,240027447,N,Y,33.2219084,-116.3298916
PAST SALE,,Condo/Co-op,3195 W Club Cir,Borrego Springs,CA,92004,127500,2,2.0,,1008,,1980,,126,,,,,https://www.redfin.com/CA/Borrego-Springs/3195-W-Club-Cir-92004/home/3638086,,,N,Y,33.232612,-116.357377
PAST SALE,December-13-2024,Single Family Residential,1711 Indigo Ln,Borrego Springs,CA,92004,510000,3,2.5,Borrego Springs,1908,54885,1993,,267,,Sold,,,https://www.redfin.com/CA/Borrego-Springs/1711-Indigo-Ln-92004/home/3638575,SDMLS,240025822,N,Y,33.2017281,-116.3295786
