SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-3-2025,Townhouse,1144 Woodlake Dr,Cardiff By The Sea,CA,92007,1250000,3,2.5,92007 - Cardiff By The Sea,1258,899,1976,,994,494,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1144-Woodlake-Dr-92007/home/4145395,CRMLS,NDP2500267,N,Y,33.032858,-117.266701
PAST SALE,February-4-2025,Single Family Residential,2138 VIA TIEMPO,Cardiff,CA,92007,3225000,5,3.0,Cardiff by the Sea,3103,18935,1985,,1039,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/2138-Via-Tiempo-92007/home/4151325,SDMLS,240028853,N,Y,33.0189168,-117.2629322
PAST SALE,,Multi-Family (2-4 Unit),1957 Montgomery Ave #59,Cardiff By The Sea,CA,92007,2497000,4,4.0,,1540,5227,1973,,1621,,,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1957-Montgomery-Ave-92007/unit-59/home/4138737,,,N,Y,33.0242333,-117.2810321
PAST SALE,March-6-2025,Single Family Residential,1530-32 Summit Ave,Cardiff By The Sea,CA,92007,5493552,5,4.5,92007 - Cardiff By The Sea,3466,6942,1984,,1585,,Sold,,,https://www.redfin.com/CA/Cardiff/1530-Summit-Ave-92007/home/194719990,CRMLS,NDP2501432,N,Y,33.0302609,-117.2869463
PAST SALE,February-7-2025,Townhouse,1233 Caminito Septimo,Cardiff By The Sea,CA,92007,1125000,3,2.5,Cardiff by the Sea,1258,1016,1977,,894,494,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1233-Caminito-Septimo-92007/home/4146692,SDMLS,250001116,N,Y,33.0357614,-117.2695905
PAST SALE,February-21-2025,Single Family Residential,493 Warwick Ave,Cardiff By The Sea,CA,92007,4350000,5,4.0,Cardiff by the Sea,3552,7716,2002,,1225,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/493-Warwick-Ave-92007/home/6481111,SDMLS,250017875,N,Y,33.0287485,-117.2804477
PAST SALE,January-7-2025,Single Family Residential,1145 Sea Village Dr,Cardiff By The Sea,CA,92007,2450000,4,2.5,92007 - Cardiff By The Sea,2262,18394,1976,,1083,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1145-Sea-Village-Dr-92007/home/4151200,CRMLS,NDP2410098,N,Y,33.0191501,-117.2676565
PAST SALE,January-6-2025,Single Family Residential,2020 Freda Ln,Cardiff By The Sea,CA,92007,2400000,4,3.0,92007 - Cardiff By The Sea,2709,11996,1976,,886,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/2020-Freda-Ln-92007/home/4151153,CRMLS,NDP2408657,N,Y,33.0210359,-117.2697306
PAST SALE,February-27-2025,Single Family Residential,1237 Greenlake Dr,Cardiff By The Sea,CA,92007,1135000,2,1.0,92007 - Cardiff By The Sea,792,3200,1973,,1433,65,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1237-Greenlake-Dr-92007/home/4143531,CRMLS,NDP2500869,N,Y,33.034954,-117.270283
PAST SALE,January-29-2025,Single Family Residential,1353 Evergreen Dr,Cardiff By The Sea,CA,92007,819000,2,1.0,92007 - Cardiff By The Sea,922,1360,1974,,888,494,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1353-Evergreen-Dr-92007/home/4144476,CRMLS,NDP2500095,N,Y,33.0330149,-117.2690919
PAST SALE,March-4-2025,Single Family Residential,2559-1/2 Manchester Ave Unit B,Cardiff By The Sea,CA,92007,2500000,3,3.0,92007 - Cardiff By The Sea,2085,2500,1988,,1199,,Sold,,,https://www.redfin.com/CA/Cardiff/2559-1-2-Manchester-Ave-92007/unit-B/home/179378547,CRMLS,NDP2500659,N,Y,33.0149486,-117.2754755
PAST SALE,January-7-2025,Single Family Residential,2057 Oxford Ave,Cardiff By The Sea,CA,92007,2650000,3,3.0,92007 - Cardiff By The Sea,2198,2500,1991,,1206,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/2057-Oxford-Ave-92007/home/4139940,CRMLS,PTP2407087,N,Y,33.0234048,-117.2795252
PAST SALE,January-2-2025,Single Family Residential,1573 Lower Lake Ct,Cardiff By The Sea,CA,92007,1125000,2,1.0,92007 - Cardiff By The Sea,955,5300,1974,,1178,65,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1573-Lower-Lake-Ct-92007/home/4145038,CRMLS,NDP2410065,N,Y,33.0294984,-117.2670941
PAST SALE,February-21-2025,Single Family Residential,1413 Kings Cross Dr,Cardiff By The Sea,CA,92007,1900000,3,2.0,Encinitas,1502,6000,1979,,1265,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1413-Kings-Cross-Dr-92007/home/4146787,SDMLS,250000393,N,Y,33.0325071,-117.2766181
PAST SALE,January-21-2025,Condo/Co-op,1593 San Elijo Ave,Cardiff By The Sea,CA,92007,3495000,2,2.5,92007 - Cardiff By The Sea,2652,,1991,,1318,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1593-San-Elijo-Ave-92007/home/6667068,CRMLS,NDP2408049,N,Y,33.0290261,-117.2874384
PAST SALE,March-3-2025,Single Family Residential,125 Mozart Ave,Cardiff By The Sea,CA,92007,3125000,4,2.0,Cardiff by the Sea,1943,4189,2012,,1608,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/125-Mozart-Ave-92007/home/39555762,SDMLS,250000831,N,Y,33.0240571,-117.2833877
PAST SALE,February-18-2025,Single Family Residential,135 Schubert Path St,Cardiff By The Sea,CA,92007,3550000,6,5.0,92007 - Cardiff By The Sea,3777,6300,2000,,940,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/135-Schubert-Path-92007/home/4138351,CRMLS,NDP2410390,N,Y,33.0263467,-117.2846185
PAST SALE,January-23-2025,Multi-Family (2-4 Unit),2265 Montgomery Ave,Cardiff By The Sea,CA,92007,2925000,4,2.5,92007 - Cardiff By The Sea,2074,5005,1970,,1410,,Sold,,,https://www.redfin.com/CA/Cardiff/2265-Montgomery-Ave-92007/home/192305368,CRMLS,NDP2409217,N,Y,33.0198688,-117.277957
PAST SALE,January-17-2025,Single Family Residential,1206 Blue Sky Dr,Cardiff By The Sea,CA,92007,3000000,4,4.5,92007 - Cardiff By The Sea,2978,9667,2021,,1007,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1206-Blue-Sky-Dr-92007/home/4137234,CRMLS,NDP2409280,N,Y,33.0360131,-117.2716266
PAST SALE,January-17-2025,Single Family Residential,1836 Pariva Dr,Encinitas,CA,92007,1850000,3,2.0,Encinitas,1205,6400,1971,,1535,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1836-Pariva-Dr-92007/home/4142281,SDMLS,240022408,N,Y,33.0244067,-117.2716813
PAST SALE,December-23-2024,Single Family Residential,2350 Newport,Cardiff By The Sea,CA,92007,5250000,5,4.5,Cardiff By The Sea,4200,6000,2005,,1250,,Sold,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/2350-Newport-Ave-92007/home/4146923,SDMLS,240022572,N,Y,33.0173107,-117.279881
PAST SALE,December-23-2024,Multi-Family (2-4 Unit),1957-59 Montgomery Ave,Cardiff By The Sea,CA,92007,2497000,4,4.0,Cardiff by the Sea,2066,5380,1973,,1209,,Sold,,,https://www.redfin.com/CA/Cardiff/1957-Montgomery-Ave-92007/home/192759737,SDMLS,240022281,N,Y,33.0242333,-117.2810321
PAST SALE,,Single Family Residential,1632 Edilee Dr,Cardiff By The Sea,CA,92007,1462500,3,2.0,,1326,6100,1961,,1103,,,,,https://www.redfin.com/CA/Cardiff-by-the-Sea/1632-Edilee-Dr-92007/home/4141759,,,N,Y,33.0271796,-117.2717669
PAST SALE,,Single Family Residential,1537 San Elijo Ave #39,Cardiff,CA,92007,3214500,2,3.0,,2533,4701,2023,,1269,,,,,https://www.redfin.com/CA/Cardiff/1537-San-Elijo-Ave-92007/unit-39/home/28892133,,,N,Y,33.0300192,-117.2880085
