SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,4630 Pannonia Rd,Carlsbad,CA,92008,1575000,5,4.0,,2886,11356,1989,,546,,,,,https://www.redfin.com/CA/Carlsbad/4630-Pannonia-Rd-92008/home/3703079,,,N,Y,33.1487159,-117.3209729
PAST SALE,March-3-2025,Single Family Residential,2072 Truesdell Ln,Carlsbad,CA,92008,1590000,4,2.5,92008 - Carlsbad,2110,8300,1966,,754,,Sold,,,https://www.redfin.com/CA/Carlsbad/2072-Truesdell-Ln-92008/home/3414436,CRMLS,NDP2502015,N,Y,33.168549,-117.3309124
PAST SALE,,Multi-Family (2-4 Unit),3712 Jefferson St #14,Carlsbad,CA,92008,1360000,4,2.0,,1680,6016,1953,,810,,,,,https://www.redfin.com/CA/Carlsbad/3712-Jefferson-St-92008/unit-14/home/3688315,,,N,Y,33.1538847,-117.3393233
PAST SALE,March-6-2025,Single Family Residential,2030 Chestnut Ave,Carlsbad,CA,92008,1292500,3,3.0,92008 - Carlsbad,1264,8600,1959,,1023,,Sold,,,https://www.redfin.com/CA/Carlsbad/2030-Chestnut-Ave-92008/home/3691829,CRMLS,PTP2500793,N,Y,33.1618623,-117.3256776
PAST SALE,December-17-2024,Single Family Residential,2687 Garfield St,Carlsbad,CA,92008,916000,3,3.0,92008 - Carlsbad,1480,6995,1982,,619,,Sold,,,https://www.redfin.com/CA/Carlsbad/2687-Garfield-St-92008/home/3643230,CRMLS,NDP2410207,N,Y,33.1606099,-117.3547219
PAST SALE,December-17-2024,Single Family Residential,2689 Garfield St,Carlsbad,CA,92008,916000,3,3.0,92008 - Carlsbad,1542,6995,1982,,594,,Sold,,,https://www.redfin.com/CA/Carlsbad/2689-Garfield-St-92008/home/3643226,CRMLS,NDP2410208,N,Y,33.1606099,-117.3547219
PAST SALE,December-17-2024,Single Family Residential,2685 Garfield St,Carlsbad,CA,92008,916000,3,3.0,92008 - Carlsbad,1480,6995,1982,,619,,Sold,,,https://www.redfin.com/CA/Carlsbad/2685-Garfield-St-92008/home/3643233,CRMLS,NDP2410206,N,Y,33.1605968,-117.3546928
PAST SALE,February-19-2025,Single Family Residential,1861 Valencia Ave,Carlsbad,CA,92008,1783000,5,3.0,92008 - Carlsbad,2925,9655,1982,,610,,Sold,,,https://www.redfin.com/CA/Carlsbad/1861-Valencia-Ave-92008/home/3698560,CRMLS,NDP2500741,N,Y,33.1452014,-117.316404
PAST SALE,February-26-2025,Condo/Co-op,4747 Marina Dr #14,Carlsbad,CA,92008,1210000,2,2.0,92008 - Carlsbad,1248,445621,1976,,970,750,Sold,,,https://www.redfin.com/CA/Carlsbad/4747-Marina-Dr-92008/unit-14/home/3696397,CRMLS,NDP2500021,N,Y,33.1434504,-117.3229004
