SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-24-2025,Townhouse,1759 Coast Blvd,Del Mar,CA,92014,2700000,3,3.0,Del Mar,1500,,1975,,1800,916,Sold,,,https://www.redfin.com/CA/Del-Mar/1759-Coast-Blvd-92014/home/4406564,SDMLS,250019763,N,Y,32.9633563,-117.2670202
PAST SALE,,Single Family Residential,14022 Condesa Dr,Del Mar,CA,92014,4480000,4,3.0,,2180,6400,1970,,2055,,,,,https://www.redfin.com/CA/Del-Mar/14022-Condesa-Dr-92014/home/4424632,,,N,Y,32.9513744,-117.2596448
PAST SALE,January-8-2025,Townhouse,12992 CAMINITO DEL CANTO,Del Mar,CA,92014,2250000,3,3.5,Del Mar,2284,299763,1980,,985,921,Sold,,,https://www.redfin.com/CA/Del-Mar/12992-Caminito-del-Canto-92014/home/4439329,SDMLS,240027158,N,Y,32.9361793,-117.2543065
PAST SALE,January-7-2025,Townhouse,13071 Caminito Del Rocio,Del Mar,CA,92014,2087769,3,2.0,Del Mar,1841,,1975,,1134,843,Sold,,,https://www.redfin.com/CA/Del-Mar/13071-Caminito-del-Rocio-92014/home/4439158,SDMLS,240028263,N,Y,32.9372568,-117.2562775
PAST SALE,February-17-2025,Single Family Residential,320 Del Mar Heights Rd,Del Mar,CA,92014,2995000,3,2.5,Del Mar,1750,6743,2009,,1711,,Sold,,,https://www.redfin.com/CA/Del-Mar/320-Del-Mar-Heights-Rd-92014/home/4428027,SDMLS,250016850,N,Y,32.9487437,-117.2602402
PAST SALE,March-6-2025,Single Family Residential,3425 Caminito Daniella,Del Mar,CA,92014,5100000,5,4.0,92014 - Del Mar,4285,18896,1991,,1190,260,Sold,,,https://www.redfin.com/CA/Del-Mar/3425-Caminito-Daniella-92014/home/4402393,CRMLS,NDP2501395,N,Y,32.9844218,-117.2407603
PAST SALE,January-6-2025,Condo/Co-op,2264 Del Mar Scenic Pkwy,Del Mar,CA,92014,2649000,3,3.5,92014 - Del Mar,2234,,1975,,1186,921,Sold,,,https://www.redfin.com/CA/Del-Mar/2264-Del-Mar-Scenic-Pkwy-92014/home/4439120,CRMLS,NDP2410029,N,Y,32.9372568,-117.2562775
PAST SALE,January-9-2025,Single Family Residential,1048 Highland Dr,Del Mar,CA,92014,3095000,5,3.5,Solana Beach,3521,22215,1987,,879,,Sold,,,https://www.redfin.com/CA/Del-Mar/1048-Highland-Dr-92014/home/4397658,SDMLS,240026700,N,Y,32.9881164,-117.2518811
PAST SALE,February-13-2025,Single Family Residential,13783 Recuerdo Dr,Del Mar,CA,92014,2672000,4,3.0,Del Mar,1952,6800,1972,,1369,,Sold,,,https://www.redfin.com/CA/Del-Mar/13783-Recuerdo-Dr-92014/home/4431046,SDMLS,250000781,N,Y,32.9484112,-117.251678
