SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Single Family Residential,868 Washington Heights Rd,El Cajon,CA,92019,642500,2,1.0,,2759,21780,1970,,233,,,,,https://www.redfin.com/CA/El-Cajon/868-Washington-Heights-Rd-92019/home/5616176,,,N,Y,32.7853516,-116.9435279
PAST SALE,March-5-2025,Single Family Residential,173 S Ivory,El Cajon,CA,92019,485000,3,2.0,El Cajon,1014,,1958,,478,,Sold,,,https://www.redfin.com/CA/El-Cajon/173-S-Ivory-Ave-92019/home/5692696,SDMLS,250020588,N,Y,32.7938903,-116.9327473
PAST SALE,,Single Family Residential,12165 Via Antigua,El Cajon,CA,92019,880000,4,3.0,,1796,5227,1984,,490,,,,,https://www.redfin.com/CA/El-Cajon/12165-Via-Antigua-92019/home/5658321,,,N,Y,32.7508132,-116.9321863
PAST SALE,March-6-2025,Single Family Residential,1775 Granite Hills Dr,El Cajon,CA,92019,785000,3,2.0,92019 - El Cajon,1699,45738,1957,,462,,Sold,,,https://www.redfin.com/CA/El-Cajon/1775-Granite-Hills-Dr-92019/home/5695895,CRMLS,NDP2502121,N,Y,32.791776,-116.9198722
PAST SALE,December-19-2024,Single Family Residential,178 Bearing Ln,El Cajon,CA,92019,690000,3,2.0,92019 - El Cajon,1547,8800,1970,,446,,Sold,,,https://www.redfin.com/CA/El-Cajon/178-Bearing-Ln-92019/home/5693252,CRMLS,PTP2407662,N,Y,32.7942039,-116.92547
PAST SALE,February-5-2025,Condo/Co-op,3239 Dehesa Rd #43,El Cajon,CA,92019,540000,2,2.0,92019 - El Cajon,1197,,2000,,451,546,Sold,,,https://www.redfin.com/CA/El-Cajon/3239-Dehesa-Rd-92019/unit-43/home/6463347,CRMLS,PTP2500330,N,Y,32.7836135,-116.8796257
PAST SALE,February-19-2025,Townhouse,12190 CUYAMACA COLLEGE Dr E #1310,El Cajon,CA,92020,508000,2,2.0,Rancho San Diego,862,,1995,,589,365,Sold,,,https://www.redfin.com/CA/El-Cajon/12190-Cuyamaca-College-Dr-E-92019/unit-1310/home/142945286,SDMLS,250001259,N,Y,32.7428367,-116.9362823
PAST SALE,January-2-2025,Single Family Residential,1765 Sea Pines Rd,El Cajon,CA,92019,1100000,4,3.0,92019 - El Cajon,1908,8622,1988,,577,,Sold,,,https://www.redfin.com/CA/El-Cajon/1765-Sea-Pines-Rd-92019/home/5719683,CRMLS,PTP2406758,N,Y,32.7473118,-116.9193565
PAST SALE,January-2-2025,Single Family Residential,1920 Naranca Ave,El Cajon,CA,92019,977995,4,3.0,El Cajon,2192,17359,1961,,446,,Sold,,,https://www.redfin.com/CA/El-Cajon/1920-Naranca-Ave-92019/home/5685934,SDMLS,240028072,N,Y,32.8036065,-116.9097714
PAST SALE,December-19-2024,Single Family Residential,1485 Golden Harvest Ln,El Cajon,CA,92019,832000,3,2.5,El Cajon,1642,,1989,,507,285,Sold,,,https://www.redfin.com/CA/El-Cajon/1485-Golden-Harvest-Ln-92019/home/5710967,SDMLS,240027865,N,Y,32.77359,-116.8881056
PAST SALE,February-27-2025,Single Family Residential,1245 E Lexington Ave,El Cajon,CA,92019,849000,4,3.0,92019 - El Cajon,1725,11400,1960,,492,,Sold,,,https://www.redfin.com/CA/El-Cajon/1245-E-Lexington-Ave-92019/home/5599993,CRMLS,NDP2410706,N,Y,32.7922057,-116.9396184
PAST SALE,February-18-2025,Condo/Co-op,1468 Gustavo St Unit A,El Cajon,CA,92019,420000,1,1.0,El Cajon,900,233067,1980,,467,296,Sold,,,https://www.redfin.com/CA/El-Cajon/1468-Gustavo-St-92019/unit-A/home/6432723,SDMLS,250000856,N,Y,32.7827772,-116.9290047
PAST SALE,January-30-2025,Single Family Residential,509 Alderson St,El Cajon,CA,92019,670000,3,2.0,El Cajon,1226,,1960,,546,,Sold,,,https://www.redfin.com/CA/El-Cajon/509-Alderson-St-92019/home/5601202,SDMLS,240029012,N,Y,32.7904271,-116.9349582
PAST SALE,March-5-2025,Single Family Residential,725 Mahogany Dr,El Cajon,CA,92019,840000,4,2.0,El Cajon,1990,6000,1972,,422,,Sold,,,https://www.redfin.com/CA/El-Cajon/725-Mahogany-Dr-92019/home/5698998,SDMLS,250017837,N,Y,32.7865911,-116.9193258
PAST SALE,December-10-2024,Single Family Residential,110 S IVORY,El Cajon,CA,92019,655000,3,2.0,92019 - El Cajon,1014,6500,1958,,646,,Sold,,,https://www.redfin.com/CA/El-Cajon/110-S-Ivory-Ave-92019/home/5692539,CRMLS,PTP2406953,N,Y,32.7946466,-116.9332982
PAST SALE,February-21-2025,Single Family Residential,11713 Monte View Ct,El Cajon,CA,92019,1010000,4,2.5,Rancho San Diego,1713,3728,1989,,590,117,Sold,,,https://www.redfin.com/CA/El-Cajon/11713-Monte-View-Ct-92019/home/6285511,SDMLS,250001443,N,Y,32.7507834,-116.9288512
PAST SALE,February-21-2025,Single Family Residential,1618 Sundale Rd,El Cajon,CA,92019,1075000,3,2.0,92019 - El Cajon,2164,22215,1976,,497,,Sold,,,https://www.redfin.com/CA/El-Cajon/1618-Sundale-Rd-92019/home/5713916,CRMLS,PTP2500951,N,Y,32.7642643,-116.9236774
PAST SALE,December-31-2024,Single Family Residential,2006 Crossle Ct,El Cajon,CA,92019,1365000,4,3.5,92019 - El Cajon,2493,11166,1985,,548,,Sold,,,https://www.redfin.com/CA/El-Cajon/2006-Crossle-Ct-92019/home/6273795,CRMLS,PTP2407172,N,Y,32.7535119,-116.9159274
PAST SALE,December-20-2024,Single Family Residential,1809 Hidden Oaks Ct,El Cajon,CA,92019,1800000,6,3.5,El Cajon,4579,,1977,,393,6,Sold,,,https://www.redfin.com/CA/El-Cajon/1809-Hidden-Oaks-Ct-92019/home/5704740,SDMLS,240024588,N,Y,32.7753043,-116.9188268
PAST SALE,February-5-2025,Condo/Co-op,911 jamacha Rd,El Cajon,CA,92019,499999,2,1.0,92019 - El Cajon,936,,1983,,534,430,Sold,,,https://www.redfin.com/CA/El-Cajon/911-Jamacha-Rd-92019/home/5704843,CRMLS,NDP2500062,N,Y,32.7837585,-116.9273506
PAST SALE,February-28-2025,Condo/Co-op,910 AMISTAD Ct Unit D,El Cajon,CA,92019,435000,2,1.0,92019 - El Cajon,945,60987,1973,,460,549,Sold,,,https://www.redfin.com/CA/El-Cajon/910-Amistad-Ct-92019/unit-D/home/5705521,CRMLS,PTP2500868,N,Y,32.783355,-116.9259733
