SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-19-2025,Single Family Residential,862 Morning Sun Dr,Encinitas,CA,92024,2430000,4,3.0,Olivenhain,3016,20569,1981,,806,,Sold,,,https://www.redfin.com/CA/Encinitas/862-Morning-Sun-Dr-92024/home/4173170,SDMLS,250019362,N,Y,33.0575898,-117.2391814
PAST SALE,January-20-2025,Single Family Residential,134 Triton Cir,Encinitas,CA,92024,1900000,3,2.5,92024 - Encinitas,1742,3603,1988,,1091,165,Sold,,,https://www.redfin.com/CA/Encinitas/134-Triton-Cir-92024/home/4122814,CRMLS,NDP2500656,N,Y,33.0472656,-117.2891969
PAST SALE,January-6-2025,Condo/Co-op,1740 S El Camino Real #204,Encinitas,CA,92024,675000,2,2.0,92024 - Encinitas,906,167480,1998,,745,553,Sold,,,https://www.redfin.com/CA/Encinitas/1740-S-El-Camino-Real-92024/unit-204/home/6604092,CRMLS,NDP2500207,N,Y,33.0254202,-117.2573031
PAST SALE,February-14-2025,Single Family Residential,1112 Oceanic Dr,Encinitas,CA,92024,2400000,4,3.0,Encinitas,2613,,1978,,918,,Sold,,,https://www.redfin.com/CA/Encinitas/1112-Oceanic-Dr-92024/home/4123552,SDMLS,250018982,N,Y,33.0379892,-117.2666847
PAST SALE,February-7-2025,Single Family Residential,2005 Shadow Grv,Encinitas,CA,92024,1240000,3,2.0,Encinitas,1134,7674,1976,,1093,75,Sold,,,https://www.redfin.com/CA/Encinitas/2005-Shadow-Grove-Way-92024/home/4134104,SDMLS,250018119,N,Y,33.0454194,-117.245175
PAST SALE,,Single Family Residential,1728 Gascony Rd,Encinitas,CA,92024,1750000,3,3.0,,2262,4792,1975,,774,,,,,https://www.redfin.com/CA/Encinitas/1728-Gascony-Rd-92024/home/3790724,,,N,Y,33.0815778,-117.2896832
PAST SALE,January-31-2025,Single Family Residential,3206 Brookside Ln,Encinitas,CA,92024,3050000,4,3.0,Olivenhain,3527,,1991,,865,105,Sold,,,https://www.redfin.com/CA/Encinitas/3206-Brookside-Ln-92024/home/4179346,SDMLS,250017710,N,Y,33.0540198,-117.2171066
PAST SALE,,Single Family Residential,308 Delage Dr,Encinitas,CA,92024,1300000,4,3.0,,1850,17860,1976,,703,,,,,https://www.redfin.com/CA/Encinitas/308-Delage-Dr-92024/home/4134388,,,N,Y,33.0394722,-117.2588509
PAST SALE,,Single Family Residential,2150 Ranch View Ter,Encinitas,CA,92024,2800000,3,4.0,,2592,21780,1972,,1080,,,,,https://www.redfin.com/CA/Encinitas/2150-Ranch-View-Ter-92024/home/4180466,,,N,Y,33.0446019,-117.2381378
PAST SALE,January-14-2025,Single Family Residential,1125 Hermes Ave,Encinitas,CA,92024,2496050,3,2.5,Leucadia,1684,,1982,,1482,,Sold,,,https://www.redfin.com/CA/Encinitas/1125-Hermes-Ave-92024/home/4064411,SDMLS,250001507,N,Y,33.0693608,-117.3013994
PAST SALE,February-26-2025,Single Family Residential,305 La Veta Ave,Encinitas,CA,92024,3800000,4,2.5,Encinitas,2385,4087,1993,,1593,,Sold,,,https://www.redfin.com/CA/Encinitas/305-La-Veta-Ave-92024/home/4091416,SDMLS,250019510,N,Y,33.0542736,-117.2980037
PAST SALE,December-16-2024,Single Family Residential,49 E E,Encinitas,CA,92024,2300590,4,1.5,92024 - Encinitas,1700,4700,1929,,1353,,Sold,,,https://www.redfin.com/CA/Encinitas/49-E-E-St-92024/home/4118213,CRMLS,NDP2410691,N,Y,33.0447446,-117.2913499
PAST SALE,,Single Family Residential,836 Jensen Ct,Encinitas,CA,92024,3100000,5,6.0,,4888,9966,2003,,634,,,,,https://www.redfin.com/CA/Encinitas/836-Jensen-Ct-92024/home/6523871,,,N,Y,33.0629622,-117.2734359
PAST SALE,,Multi-Family (2-4 Unit),136 Hillcrest Dr #134,Encinitas,CA,92024,2150000,4,2.0,,1880,13068,1973,,1144,,,,,https://www.redfin.com/CA/Encinitas/136-Hillcrest-Dr-92024/unit-134/home/4060310,,,N,Y,33.0762426,-117.3048179
PAST SALE,March-4-2025,Single Family Residential,1440 Valleda Ln,Encinitas,CA,92024,1723575,4,2.5,Encinitas,2118,,1975,,814,108,Sold,,,https://www.redfin.com/CA/Encinitas/1440-Valleda-Ln-92024/home/4102758,SDMLS,250017324,N,Y,33.0557476,-117.2580892
PAST SALE,March-7-2025,Single Family Residential,1803 Autumn Pl,Encinitas,CA,92024,1513000,3,2.0,92024 - Encinitas,1685,7903,1983,,898,165,Sold,,,https://www.redfin.com/CA/Encinitas/1803-Autumn-Pl-92024/home/4106064,CRMLS,NDP2501079,N,Y,33.0540348,-117.2496519
PAST SALE,January-24-2025,Condo/Co-op,215 S Shorehang Ln,Encinitas,CA,92024,749000,2,1.0,92024 - Encinitas,884,,1985,,847,385,Sold,,,https://www.redfin.com/CA/Encinitas/215-S-Shorehang-Ln-92024/home/4127210,CRMLS,NDP2410666,N,Y,33.0391855,-117.245329
PAST SALE,February-14-2025,Single Family Residential,1214 Cambria Way,Encinitas,CA,92024,1364000,3,2.5,92024 - Encinitas,1386,841143600,1999,,984,185,Sold,,,https://www.redfin.com/CA/Encinitas/1214-Cambria-Way-92024/home/4095676,CRMLS,NDP2501015,N,Y,33.0597613,-117.2639726
PAST SALE,January-8-2025,Single Family Residential,234 Rancho Santa Fe Rd,Encinitas,CA,92024,2000000,3,2.0,Olivenhain,1620,21221,1990,,1235,,Sold,,,https://www.redfin.com/CA/Encinitas/234-Rancho-Santa-Fe-Rd-92024/home/4127311,SDMLS,240028063,N,Y,33.0406718,-117.2374125
PAST SALE,March-6-2025,Single Family Residential,1521 Traske Rd,Encinitas,CA,92024,1621000,3,2.0,Encinitas,1327,6400,1974,,1222,,Sold,,,https://www.redfin.com/CA/Encinitas/1521-Traske-Rd-92024/home/4129807,SDMLS,250017692,N,Y,33.0481857,-117.2542235
PAST SALE,February-19-2025,Condo/Co-op,132 S Jayton Ln,Encinitas,CA,92024,790000,2,1.0,92024 - Encinitas,884,1236639,1985,,894,475,Sold,,,https://www.redfin.com/CA/Encinitas/132-S-Jayton-Ln-92024/home/4127146,CRMLS,NDP2500583,N,Y,33.0370784,-117.2444234
PAST SALE,January-22-2025,Single Family Residential,1516 Tzena Way,Encinitas,CA,92024,1847800,4,2.5,Encinitas,2350,7600,1976,,786,90,Sold,,,https://www.redfin.com/CA/Encinitas/1516-Tzena-Way-92024/home/4103424,CRMLS,ND24227832,N,Y,33.0539472,-117.2567725
PAST SALE,January-9-2025,Condo/Co-op,1503 Livorno Pl #209,Encinitas,CA,92024,1555000,3,2.0,Encinitas,1455,,2024,,1069,607,Sold,,,https://www.redfin.com/CA/Encinitas/1503-Livorno-Pl-92024/unit-209/home/193929582,SDMLS,240028472,N,Y,33.067426155178,-117.279009910583
