SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,December-23-2024,Single Family Residential,310 Skyridge Ln,Escondido,CA,92026,690000,2,2.0,North Escondido,1337,5200,1979,,516,126,Sold,,,https://www.redfin.com/CA/Escondido/310-Skyridge-Ln-92026/home/3886587,SDMLS,240027483,N,Y,33.1620772,-117.0973747
PAST SALE,January-24-2025,Single Family Residential,29852 Tricia Ann Ct,Escondido,CA,92026,769000,4,2.5,North Escondido,1597,7167,2003,,482,145,Sold,,,https://www.redfin.com/CA/Escondido/29852-Tricia-Ann-Ct-92026/home/6528434,SDMLS,240028026,N,Y,33.2563365,-117.1432165
PAST SALE,December-23-2024,Single Family Residential,9804 N View Ct,Escondido,CA,92026,910000,2,2.0,North Escondido,936,762300,2005,,972,,Sold,,,https://www.redfin.com/CA/Escondido/9804-N-View-Ct-92026/home/3532826,SDMLS,240023512,N,Y,33.247985,-117.1171155
PAST SALE,January-7-2025,Single Family Residential,1198 Nordahl Rd,Escondido,CA,92026,930000,4,3.0,Southwest Escondido,2048,46609,1970,,454,,Sold,,,https://www.redfin.com/CA/Escondido/1198-Nordahl-Rd-92026/home/3940457,SDMLS,240023384,N,Y,33.1415344,-117.1083478
PAST SALE,February-14-2025,Single Family Residential,2276 Creek Hollow Pl,Escondido,CA,92026,962500,4,3.0,92026 - Escondido,1938,7442,1989,,497,118,Sold,,,https://www.redfin.com/CA/Escondido/2276-Creek-Hollow-Pl-92026/home/3889784,CRMLS,NDP2500634,N,Y,33.1660378,-117.0800518
PAST SALE,,Single Family Residential,320 E Lincoln Ave,Escondido,CA,92026,625000,3,2.0,,1380,6400,1961,,453,,,,,https://www.redfin.com/CA/Escondido/320-E-Lincoln-Ave-92026/home/3955117,,,N,Y,33.1348183,-117.0842374
PAST SALE,,Mobile/Manufactured Home,1630 Lotus Gln,Escondido,CA,92026,166000,2,2.0,,1536,5581,1983,,108,,,,,https://www.redfin.com/CA/Escondido/1630-Lotus-Gln-92026/home/17216453,,,N,Y,33.1493299,-117.1184907
PAST SALE,March-3-2025,Single Family Residential,163 La Lomita Dr,Escondido,CA,92026,905000,4,3.0,North Escondido,2300,14655,1960,,393,,Sold,,,https://www.redfin.com/CA/Escondido/163-La-Lomita-Dr-92026/home/3927593,SDMLS,250018133,N,Y,33.1469911,-117.088458
PAST SALE,,Single Family Residential,1562 David Dr,Escondido,CA,92026,800000,3,2.0,,1785,7700,1969,,448,,,,,https://www.redfin.com/CA/Escondido/1562-David-Dr-92026/home/3879871,,,N,Y,33.1583477,-117.1178391
