SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-10-2025,Single Family Residential,402 Porter St,Fallbrook,CA,92028,710000,3,2.0,92028 - Fallbrook,1456,12847,1986,,488,,Sold,,,https://www.redfin.com/CA/Fallbrook/402-Porter-St-92028/home/3053197,CRMLS,PTP2500407,N,Y,33.3895284,-117.2478391
PAST SALE,,Single Family Residential,1346 El Nido Dr #60,Fallbrook,CA,92028,1575000,6,4.0,,3987,45302,1990,,395,,,,,https://www.redfin.com/CA/Fallbrook/1346-El-Nido-Dr-92028/unit-60/home/3119127,,,N,Y,33.3235939,-117.2309127
PAST SALE,January-29-2025,Single Family Residential,420 Futurity Ln,Fallbrook,CA,92028,985000,3,3.0,Fallbrook,2300,43996,1987,,428,,Sold,,,https://www.redfin.com/CA/Fallbrook/420-Futurity-Ln-92028/home/3103798,CRMLS,ND25009713,N,Y,33.3274074,-117.2473497
PAST SALE,February-27-2025,Single Family Residential,4330 Vista Del Pacifico,Fallbrook,CA,92028,1555000,4,3.5,Fallbrook,3556,110207,2002,,437,,Sold,,,https://www.redfin.com/CA/Fallbrook/4330-Vista-del-Pacifico-92028/home/3087299,CRMLS,IG25043002,N,Y,33.3580474,-117.1756911
PAST SALE,,Single Family Residential,372 Spanish Spur,Fallbrook,CA,92028,1115000,3,3.0,,2318,45738,1980,,481,,,,,https://www.redfin.com/CA/Fallbrook/372-Spanish-Spur-92028/home/3103735,,,N,Y,33.3186135,-117.2485175
PAST SALE,,Single Family Residential,950 Funquest Dr,Fallbrook,CA,92028,575000,2,2.0,,1449,7841,1979,,397,,,,,https://www.redfin.com/CA/Fallbrook/950-Funquest-Dr-92028/home/3075767,,,N,Y,33.379139,-117.2390775
PAST SALE,,Single Family Residential,1604 Wilt Rd,Fallbrook,CA,92028,493000,3,3.0,,1884,43124,1973,,262,,,,,https://www.redfin.com/CA/Fallbrook/1604-Wilt-Rd-92028/home/3085525,,,N,Y,33.364683,-117.1814943
PAST SALE,,Single Family Residential,2362 Wilt Rd,Fallbrook,CA,92028,1300000,2,2.0,,2494,107593,1974,,521,,,,,https://www.redfin.com/CA/Fallbrook/2362-Wilt-Rd-92028/home/6468478,,,N,Y,33.349058,-117.1791113
PAST SALE,January-27-2025,Townhouse,35150 Blossom Pl,Fallbrook,CA,92028,630000,3,2.5,Fallbrook,1646,,2022,,383,280,Sold,,,https://www.redfin.com/CA/Fallbrook/35150-Blossom-Pl-92028/home/182884547,SDMLS,SDC0000977,N,Y,33.3483331,-117.1525198
