SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,January-16-2025,Vacant Land,2207 Sleepy Holw,Julian,CA,92036,50000,,,92036 - Julian,,12196,,,,,Sold,,,https://www.redfin.com/CA/Julian/2207-Sleepy-Hollow-92036/home/22821998,CRMLS,NDP2500146,N,Y,33.0812081,-116.5884527
PAST SALE,January-2-2025,Single Family Residential,2527 D St,Julian,CA,92036,824000,2,3.0,Julian,2108,24597,1979,,391,,Sold,,,https://www.redfin.com/CA/Julian/2527-D-St-92036/home/4342014,SDMLS,240024208,N,Y,33.0772442,-116.5987233
PAST SALE,February-25-2025,Vacant Land,7967 High Hill Rd,Julian,CA,92036,35000,,,92036 - Julian,,36154,,,,,Sold,,,https://www.redfin.com/CA/Julian/7967-High-Hl-Rd-92036/home/17522705,CRMLS,PTP2500636,N,Y,33.009565,-116.612012
PAST SALE,February-7-2025,Single Family Residential,3691 Lakeview Dr,Julian,CA,92036,590000,3,2.0,Kentwood (KENT),1430,27878,1976,,413,,Sold,,,https://www.redfin.com/CA/Julian/3691-Lakeview-Dr-92036/home/4344154,CRMLS,NDP2410726,N,Y,33.0593932,-116.5758195
PAST SALE,February-10-2025,Single Family Residential,829 Hillside Dr,Julian,CA,92036,615000,2,2.0,92036 - Julian,1184,19700,2005,,519,,Sold,,,https://www.redfin.com/CA/Julian/829-Hillside-Dr-92036/home/7525825,CRMLS,PTP2407545,N,Y,33.0666742,-116.5790708
PAST SALE,December-16-2024,Single Family Residential,7483 Forty Rod Trl,Julian,CA,92036,189000,2,2.0,92036 - Julian,624,43560,1996,,303,,Sold,,,https://www.redfin.com/CA/Julian/7483-Forty-Rod-Trl-92036/home/4352364,CRMLS,NDP2408762,N,Y,33.0697061,-116.4385183
PAST SALE,December-27-2024,Single Family Residential,34996 Piute Trl,Julian,CA,92036,1450000,5,3.5,Julian,3392,193842,2000,,427,,Sold,,,https://www.redfin.com/CA/Julian/34996-Piute-Trl-92036/home/4350639,SDMLS,240023226,N,Y,32.9923283,-116.5764826
PAST SALE,January-27-2025,Vacant Land,Venture Valley Rd,Julian,CA,92036,115000,0,,Julian,,871200,,,,,Sold,,,https://www.redfin.com/CA/Julian/Venture-Valley-Rd-92036/home/162612251,SDMLS,240022369,N,Y,33.081259,-116.450666
PAST SALE,December-27-2024,Single Family Residential,34510 Navajo Rd,Julian,CA,92036,590000,2,2.0,Julian,1565,25700,2006,,377,,Sold,,,https://www.redfin.com/CA/Julian/34510-Navajo-Rd-92036/home/4350354,CRMLS,SW24205904,N,Y,32.9942534,-116.584609
PAST SALE,,Vacant Land,684 Great Sandy Trl,Julian,CA,92036,74000,,,,,44867,,,,,,,,https://www.redfin.com/CA/Julian/684-Great-Sandy-Trl-92036/home/22775307,,,N,Y,33.069422,-116.435126
PAST SALE,December-30-2024,Single Family Residential,1246 Orchard Ln,Julian,CA,92036,825000,3,2.0,Julian,1488,127195,1992,,554,,Sold,,,https://www.redfin.com/CA/Julian/1246-Orchard-Ln-92036/home/4051874,SDMLS,240020508,N,Y,33.1035445,-116.6471098
PAST SALE,January-24-2025,Single Family Residential,877 Kentwood Dr,Julian,CA,92036,745000,4,2.5,Julian,2726,21780,2003,,273,,Sold,,,https://www.redfin.com/CA/Julian/877-Kentwood-Dr-92036/home/4343548,SDMLS,240022459,N,Y,33.0653985,-116.5794242
PAST SALE,December-26-2024,Single Family Residential,2113 Whispering Pines Dr,Julian,CA,92036,340000,4,1.0,92036 - Julian,1384,30056,1947,,246,,Sold,,,https://www.redfin.com/CA/Julian/2113-Whispering-Pines-Dr-92036/home/4055586,CRMLS,PTP2404601,N,Y,33.0822828,-116.5880811
PAST SALE,January-8-2025,Single Family Residential,17259 Iron Springs Rd,Julian,CA,92036,660000,3,2.0,Julian,1689,54014,2009,,391,,Sold,,,https://www.redfin.com/CA/Julian/17259-Iron-Springs-Rd-92036/home/17203161,SDMLS,240020492,N,Y,33.024442,-116.572116
PAST SALE,February-6-2025,Single Family Residential,2921 Pheasant Dr,Julian,CA,92036,410000,1,1.0,Julian,720,10527,1965,,569,,Sold,,,https://www.redfin.com/CA/Julian/2921-Pheasant-Dr-92036/home/4343025,SDMLS,240013851,N,Y,33.0726872,-116.5770761
PAST SALE,,Vacant Land,,Julian,CA,92036,5000,,,,,4792,,,,,,,,https://www.redfin.com/CA/Julian/Unknown-92036/home/162382996,,,N,Y,33.032969,-116.687405
PAST SALE,,Vacant Land,,Julian,CA,92036,5000,,,,,4792,,,,,,,,https://www.redfin.com/CA/Julian/Unknown-92036/home/162618866,,,N,Y,33.031692,-116.687352
