SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,January-7-2025,Single Family Residential,13012 Ha Hana Rd,Lakeside,CA,92040,825000,3,3.0,Lakeside,2165,23112,1989,,381,,Sold,,,https://www.redfin.com/CA/Lakeside/13012-Ha-Hana-Rd-92040/home/5085579,SDMLS,240022983,N,Y,32.841868,-116.9092108
PAST SALE,February-3-2025,Condo/Co-op,9728 Marilla Dr #106,Lakeside,CA,92040,470000,2,2.0,Lakeside,944,,2006,,498,275,Sold,,,https://www.redfin.com/CA/Lakeside/9728-Marilla-Dr-92040/unit-106/home/7531670,SDMLS,250018246,N,Y,32.8539882,-116.9419842
PAST SALE,,Single Family Residential,9348 Westhill Rd,Lakeside,CA,92040,765000,3,1.0,,1188,17424,1976,,644,,,,,https://www.redfin.com/CA/Lakeside/9348-Westhill-Rd-92040/home/5038344,,,N,Y,32.8469133,-116.9428474
PAST SALE,January-16-2025,Single Family Residential,12503 Ridgeton Dr,Lakeside,CA,92040,800000,3,2.0,92040 - Lakeside,1660,12476,1978,,482,,Sold,,,https://www.redfin.com/CA/Lakeside/12503-Ridgeton-Dr-92040/home/5088560,CRMLS,PTP2407611,N,Y,32.8355735,-116.9151848
PAST SALE,,Single Family Residential,13583 Sohail St,Lakeside,CA,92040,1000000,4,4.0,,2461,22651,2014,,406,,,,,https://www.redfin.com/CA/Lakeside/13583-Sohail-St-92040/home/22563021,,,N,Y,32.8523612,-116.900539
PAST SALE,February-11-2025,Condo/Co-op,12728 Lakeshore Dr Unit C,Lakeside,CA,92040,377500,1,1.0,Lakeside,657,,1978,,575,265,Sold,,,https://www.redfin.com/CA/Lakeside/12728-Lakeshore-Dr-92040/unit-C/home/5071446,SDMLS,250000540,N,Y,32.8601951,-116.9163318
PAST SALE,December-11-2024,Single Family Residential,9116 Paradise Park Dr,Lakeside,CA,92040,1085000,4,2.5,Lakeside,2576,22215,2004,,421,,Sold,,,https://www.redfin.com/CA/Lakeside/9116-Paradise-Park-Dr-92040/home/5050784,SDMLS,240026298,N,Y,32.8412586,-116.9407884
PAST SALE,February-7-2025,Condo/Co-op,9728 Marilla Dr #403,Lakeside,CA,92040,420000,1,1.0,Lakeside,728,,2006,,577,275,Sold,,,https://www.redfin.com/CA/Lakeside/9728-Marilla-Dr-92040/unit-403/home/7534921,SDMLS,250001033,N,Y,32.8539882,-116.9419842
PAST SALE,,Condo/Co-op,9737 Winter Gardens Blvd #29,Lakeside,CA,92040,397000,2,1.0,,728,,1971,,545,,,,,https://www.redfin.com/CA/Lakeside/9737-Winter-Gardens-Blvd-92040/unit-29/home/6284568,,,N,Y,32.8547025,-116.9306186
PAST SALE,December-17-2024,Condo/Co-op,12403 Julian #103,Lakeside,CA,92040,375000,2,1.0,92040 - Lakeside,744,,1979,,504,472,Sold,,,https://www.redfin.com/CA/Lakeside/12403-Julian-Ave-92040/unit-103/home/5072606,CRMLS,PTP2406749,N,Y,32.854357,-116.9235376
PAST SALE,February-18-2025,Condo/Co-op,9728 Marilla Dr #104,Lakeside,CA,92040,505000,2,2.0,92040 - Lakeside,944,54691,2006,,535,242,Sold,,,https://www.redfin.com/CA/Lakeside/9728-Marilla-Dr-92040/unit-104/home/7534949,CRMLS,PTP2500485,N,Y,32.8539882,-116.9419842
PAST SALE,March-7-2025,Single Family Residential,13841 Deanly Way,Lakeside,CA,92040,915000,4,2.0,Lakeside,1684,10739,1989,,543,,Sold,,,https://www.redfin.com/CA/Lakeside/13841-Deanly-Way-92040/home/5082400,SDMLS,250016982,N,Y,32.8466416,-116.8917949
PAST SALE,February-14-2025,Single Family Residential,9609 Kumquat Dr,Lakeside,CA,92040,600000,3,2.5,Lakeside,1268,,1978,,473,368,Sold,,,https://www.redfin.com/CA/Lakeside/9609-Kumquat-Dr-92040/home/5077360,SDMLS,250001258,N,Y,32.852714,-116.929337
PAST SALE,January-3-2025,Single Family Residential,9421 Los Coches Rd,Lakeside,CA,92040,725000,3,2.0,Lakeside,1344,,2005,,539,,Sold,,,https://www.redfin.com/CA/Lakeside/9421-Los-Coches-Rd-92040/home/17193493,SDMLS,240025313,N,Y,32.849282,-116.9167558
PAST SALE,December-23-2024,Condo/Co-op,9728 Marilla #800,Lakeside,CA,92040,535000,3,2.0,Lakeside,1093,43560,2006,,489,252,Sold,,,https://www.redfin.com/CA/Lakeside/9728-Marilla-Dr-92040/unit-800/home/6791119,SDMLS,240026781,N,Y,32.8539882,-116.9419842
PAST SALE,January-27-2025,Condo/Co-op,9727 Winter Gardens Blvd #91,Lakeside,CA,92040,360000,1,1.0,92040 - Lakeside,568,,1971,,634,313,Sold,,,https://www.redfin.com/CA/Lakeside/9727-Winter-Gardens-Blvd-92040/unit-91/home/5075349,CRMLS,PTP2500052,N,Y,32.8545956,-116.9297734
PAST SALE,,Condo/Co-op,9739 Winter Gardens Blvd #14,Lakeside,CA,92040,353500,2,1.0,,728,,1971,,486,,,,,https://www.redfin.com/CA/Lakeside/9739-Winter-Gardens-Blvd-92040/unit-14/home/5075134,,,N,Y,32.8547086,-116.9308807
PAST SALE,January-15-2025,Townhouse,13201 Saddle Ridge Rd,Lakeside,CA,92040,617000,3,2.0,Lakeside,1051,5300,1974,,587,320,Sold,,,https://www.redfin.com/CA/Lakeside/13201-Saddle-Ridge-Rd-92040/home/5086491,CRMLS,OC24245567,N,Y,32.8474069,-116.9100403
PAST SALE,December-23-2024,Single Family Residential,11879 Rocoso Rd,Lakeside,CA,92040,900000,3,2.5,Lakeside,1700,49223,1979,,529,,Sold,,,https://www.redfin.com/CA/Lakeside/11879-Rocoso-Rd-92040/home/4999833,CRMLS,OC24242105,N,Y,32.8952386,-116.9470442
PAST SALE,February-14-2025,Single Family Residential,13518 Lakeshore Dr,Lakeside,CA,92040,750000,3,2.0,Lakeside,1120,6000,1973,,670,,Sold,,,https://www.redfin.com/CA/Lakeside/13518-Lakeshore-Dr-92040/home/5080553,SDMLS,240028575,N,Y,32.8601152,-116.9021474
PAST SALE,February-27-2025,Single Family Residential,13226 Mapleview St,Lakeside,CA,92040,880000,4,2.0,Lakeside,1792,45738,1969,,491,,Sold,,,https://www.redfin.com/CA/Lakeside/13226-Mapleview-St-92040/home/5068955,SDMLS,SDC0000976,N,Y,32.8663239,-116.9081796
PAST SALE,January-21-2025,Single Family Residential,9110 Winter Gardens Blvd,Lakeside,CA,92040,620800,2,2.0,Lakeside,803,,1935,,773,,Sold,,,https://www.redfin.com/CA/Lakeside/9110-Winter-Gardens-Blvd-92040/home/5039624,SDMLS,240028209,N,Y,32.8430789,-116.9330572
