SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-7-2025,Single Family Residential,2959 Butler St,Oceanside,CA,92054,925000,4,3.0,92054 - Oceanside,2094,7571,1979,,442,160,Sold,,,https://www.redfin.com/CA/Oceanside/2959-Butler-St-92054/home/3178623,CRMLS,OC24159661,N,Y,33.2103535,-117.3501635
PAST SALE,March-7-2025,Townhouse,2071 S El Camino Real,Oceanside,CA,92054,715000,2,2.0,Oceanside,1278,,2024,,559,344,Sold,,,https://www.redfin.com/CA/Oceanside/2071-S-El-Camino-Real-92054/home/194352345,CRMLS,PW25046142,N,Y,33.1910098,-117.3285747
PAST SALE,February-21-2025,Single Family Residential,2101 Grandview St,Oceanside,CA,92054,1208000,2,2.0,92054 - Oceanside,1722,11778,1952,,702,,Sold,,,https://www.redfin.com/CA/Oceanside/2101-Grandview-St-92054/home/3215442,CRMLS,NDP2501155,N,Y,33.1922164,-117.3512957
PAST SALE,,Single Family Residential,2592 Yucca Rd,Oceanside,CA,92054,2502071,4,4.0,,2792,17003,1960,,896,,,,,https://www.redfin.com/CA/Oceanside/2592-Yucca-Rd-92054/home/12158818,,,N,Y,33.1900236,-117.3378552
PAST SALE,January-2-2025,Single Family Residential,368 Leeward Ct,Oceanside,CA,92054,1100000,3,2.5,Oceanside,2021,9857,1981,,544,,Sold,,,https://www.redfin.com/CA/Oceanside/368-Leeward-Ct-92054/home/3360596,SDMLS,240027523,N,Y,33.2092426,-117.3363507
PAST SALE,February-28-2025,Single Family Residential,1738 Kurtz,Oceanside,CA,92054,892000,3,2.0,Oceanside,1311,,1959,,680,,Sold,,,https://www.redfin.com/CA/Oceanside/1738-Kurtz-St-92054/home/3227610,SDMLS,250018971,N,Y,33.1823119,-117.3518281
PAST SALE,,Condo/Co-op,805 Harbor Cliff Way #214,Oceanside,CA,92054,840000,3,4.0,,1427,,2007,,589,,,,,https://www.redfin.com/CA/Oceanside/805-Harbor-Cliff-Way-92054/unit-214/home/7535862,,,N,Y,33.204461,-117.380432
PAST SALE,,Condo/Co-op,910 N Pacific St #24,Oceanside,CA,92054,580000,2,2.0,,1221,,1976,,475,,,,,https://www.redfin.com/CA/Oceanside/910-N-Pacific-St-92054/unit-24/home/3165035,,,N,Y,33.2003192,-117.3876215
PAST SALE,,Condo/Co-op,404 N Horne St #44,Oceanside,CA,92054,999000,3,2.0,,1416,,2004,,706,,,,,https://www.redfin.com/CA/Oceanside/404-N-Horne-St-92054/unit-44/home/6623127,,,N,Y,33.2004655,-117.3773529
PAST SALE,February-7-2025,Single Family Residential,541 Vine St,Oceanside,CA,92054,975000,3,2.0,Oceanside,1320,5000,1976,,739,,Sold,,,https://www.redfin.com/CA/Oceanside/541-Vine-St-92054/home/3213100,SDMLS,250001004,N,Y,33.1928565,-117.366398
