SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-28-2025,Single Family Residential,635 Poplar St,Ramona,CA,92065,1148500,4,3.0,Ramona,2411,189486,2021,,476,,Sold,,,https://www.redfin.com/CA/Ramona/635-Poplar-St-92065/home/22395052,SDMLS,250018186,N,Y,33.0515536,-116.8663616
PAST SALE,December-20-2024,Single Family Residential,24156 Del Amo Rd,Ramona,CA,92065,794500,4,2.0,Ramona,2520,,1979,,315,155,Sold,,,https://www.redfin.com/CA/Ramona/24156-Del-Amo-Rd-92065/home/4310240,SDMLS,240023473,N,Y,33.0166037,-116.8074261
PAST SALE,December-20-2024,Single Family Residential,589 Tag Ln,Ramona,CA,92065,839000,4,3.0,Ramona,2104,39639,1999,,399,,Sold,,,https://www.redfin.com/CA/Ramona/589-Tag-Ln-92065/home/4291179,SDMLS,240020501,N,Y,33.0361453,-116.8705618
PAST SALE,January-20-2025,Single Family Residential,23548 Calistoga Pl,Ramona,CA,92065,904000,3,2.5,Sd country Estates,2402,20514,1989,,376,155,Sold,,,https://www.redfin.com/CA/Ramona/23548-Calistoga-Pl-92065/home/4323997,SDMLS,250000439,N,Y,32.9982269,-116.818372
PAST SALE,February-13-2025,Condo/Co-op,23944 Green Haven Ln,Ramona,CA,92065,590000,3,3.0,Ramona,1847,,1975,,319,640,Sold,,,https://www.redfin.com/CA/Ramona/23944-Green-Haven-Ln-92065/home/4307621,SDMLS,250000310,N,Y,33.0041542,-116.8127718
PAST SALE,March-6-2025,Single Family Residential,2440 Daley St,Ramona,CA,92065,958000,4,3.0,Ramona,2538,64469,1998,,377,,Sold,,,https://www.redfin.com/CA/Ramona/2440-Daley-St-92065/home/4287171,SDMLS,250018500,N,Y,33.0352169,-116.8972596
PAST SALE,March-3-2025,Single Family Residential,23506 Barona Mesa Rd,Ramona,CA,92065,869999,4,2.0,92065 - Ramona,1930,18295,1980,,451,175,Sold,,,https://www.redfin.com/CA/Ramona/23506-Barona-Mesa-Rd-92065/home/4323824,CRMLS,SW25027307,N,Y,32.9957167,-116.8201093
PAST SALE,February-10-2025,Single Family Residential,1857 El Cajon Ln,Ramona,CA,92065,900000,4,3.0,Ramona,2282,22216,1972,,394,,Sold,,,https://www.redfin.com/CA/Ramona/1857-El-Cajon-Ln-92065/home/4291230,SDMLS,250000176,N,Y,33.0249059,-116.878864
PAST SALE,February-3-2025,Single Family Residential,25328 Poderio Dr,Ramona,CA,92065,889000,3,2.0,Ramona,1620,22216,1985,,549,175,Sold,,,https://www.redfin.com/CA/Ramona/25328-Poderio-Dr-92065/home/4313328,SDMLS,250000333,N,Y,33.0060013,-116.7786066
PAST SALE,February-10-2025,Single Family Residential,1022 7th,Ramona,CA,92065,576000,3,2.0,92065 - Ramona,1508,46609,1938,,382,,Sold,,,https://www.redfin.com/CA/Ramona/1022-7th-St-92065/home/4298845,CRMLS,PTP2500614,N,Y,33.0379516,-116.858357
PAST SALE,,Single Family Residential,17061 Harvest Point Way,Ramona,CA,92065,605000,4,2.0,,2301,35284,2000,,263,,,,,https://www.redfin.com/CA/Ramona/17061-Harvest-Point-Way-92065/home/6313363,,,N,Y,33.0225003,-116.8174782
PAST SALE,February-6-2025,Single Family Residential,25050 Poderio Dr,Ramona,CA,92065,815000,4,2.5,92065 - Ramona,2340,23958,1979,,348,175,Sold,,,https://www.redfin.com/CA/Ramona/25050-Poderio-Dr-92065/home/4313648,CRMLS,NDP2500009,N,Y,33.0124204,-116.7871874
PAST SALE,March-3-2025,Single Family Residential,15530 Thornbush Rd,Ramona,CA,92065,885000,4,3.0,Ramona,2333,18730,1999,,379,175,Sold,,,https://www.redfin.com/CA/Ramona/15530-Thornbush-Rd-92065/home/4317665,SDMLS,250017211,N,Y,32.9969466,-116.756382
PAST SALE,February-14-2025,Single Family Residential,2114 Rowley Ave,Ramona,CA,92065,725000,4,4.0,Ramona,2424,,1976,,299,,Sold,,,https://www.redfin.com/CA/Ramona/2114-Rowley-Ave-92065/home/4289451,SDMLS,250001535,N,Y,33.025453,-116.8825452
PAST SALE,January-30-2025,Single Family Residential,672 Philton Dr,Ramona,CA,92065,1030000,4,2.0,92065 - Ramona,2504,182952,1988,,411,,Sold,,,https://www.redfin.com/CA/Ramona/672-Philton-Dr-92065/home/4286027,CRMLS,NDP2500020,N,Y,33.0386404,-116.8334908
PAST SALE,December-23-2024,Multi-Family (2-4 Unit),326 12th St,Ramona,CA,92065,625000,4,2.5,Ramona,1485,3475,1952,,421,,Sold,,,https://www.redfin.com/CA/Ramona/326-12th-St-92065/home/17193899,SDMLS,240027173,N,Y,33.0398174,-116.8712174
PAST SALE,December-18-2024,Single Family Residential,1927 Boundary Ave,Ramona,CA,92065,799450,4,2.0,San Diego,1614,38332,1997,,495,,Sold,,,https://www.redfin.com/CA/Ramona/1927-Boundary-Ave-92065/home/4291029,SDMLS,240026212,N,Y,33.0187711,-116.8802212
PAST SALE,January-13-2025,Single Family Residential,999 Neighborly Ln,Ramona,CA,92065,500000,3,2.0,Ramona,1645,48787,1989,,304,,Sold,,,https://www.redfin.com/CA/Ramona/999-Neighborly-Ln-92065/home/4286813,CRMLS,SR24237463,N,Y,33.0396978,-116.8411757
PAST SALE,February-19-2025,Single Family Residential,24548 Tesoro Way,Ramona,CA,92065,745000,4,2.5,92065 - Ramona,2170,17266,1985,,343,175,Sold,,,https://www.redfin.com/CA/Ramona/24548-Tesoro-Way-92065/home/4310797,CRMLS,PTP2500472,N,Y,33.0122707,-116.8002141
PAST SALE,December-27-2024,Single Family Residential,16273 Arena Dr,Ramona,CA,92065,710000,3,2.0,92065 - Ramona,2096,21739,1976,,339,155,Sold,,,https://www.redfin.com/CA/Ramona/16273-Arena-Dr-92065/home/4305185,CRMLS,PTP2407238,N,Y,33.010537,-116.8123195
PAST SALE,February-19-2025,Single Family Residential,23713 Calistoga Pl,Ramona,CA,92065,858000,4,2.5,Sd country Estates,2296,,1988,,374,155,Sold,,,https://www.redfin.com/CA/Ramona/23713-Calistoga-Pl-92065/home/4306756,SDMLS,240028938,N,Y,32.9989435,-116.8164375
PAST SALE,December-23-2024,Single Family Residential,2458 Raymond Ave,Ramona,CA,92065,815000,3,2.0,92065 - Ramona,1400,93654,1972,,582,,Sold,,,https://www.redfin.com/CA/Ramona/2458-Raymond-Ave-92065/home/4290723,CRMLS,NDP2409805,N,Y,33.0243769,-116.8892065
PAST SALE,January-27-2025,Single Family Residential,19448 Oak Mountain Rd,Ramona,CA,92065,925000,3,3.0,92065 - Ramona,1978,463042,1997,,468,,Sold,,,https://www.redfin.com/CA/Ramona/19448-Oak-Mountain-Rd-92065/home/4302636,CRMLS,NDP2410619,N,Y,33.0663583,-116.7860213
PAST SALE,December-19-2024,Single Family Residential,24234 Cerro Vista Way,Ramona,CA,92065,740000,3,2.0,92065 - Ramona,2118,20908,1979,,349,155,Sold,,,https://www.redfin.com/CA/Ramona/24234-Cerro-Vista-Way-92065/home/4310231,CRMLS,NDP2409438,N,Y,33.0204243,-116.8076925
PAST SALE,December-30-2024,Single Family Residential,935 Etcheverry St,Ramona,CA,92065,840000,3,2.0,Ramona,1795,41817,1970,,468,,Sold,,,https://www.redfin.com/CA/Ramona/935-Etcheverry-St-92065/home/4290867,SDMLS,240027214,N,Y,33.0199906,-116.8882458
PAST SALE,December-18-2024,Single Family Residential,16457 SOMBRA DEL MONTE,Ramona,CA,92065,1155000,3,2.5,92065 - Ramona,2032,108900,1983,,568,,Sold,,,https://www.redfin.com/CA/Ramona/16457-Sombra-del-Monte-92065/home/4273171,CRMLS,NDP2410081,N,Y,33.0167654,-116.949403
PAST SALE,January-9-2025,Single Family Residential,516 G St,Ramona,CA,92065,687000,3,2.0,92065 - Ramona,1450,43560,1953,,474,,Sold,,,https://www.redfin.com/CA/Ramona/516-G-St-92065/home/4297703,CRMLS,PTP2407247,N,Y,33.0422531,-116.8584114
PAST SALE,January-16-2025,Single Family Residential,878 Rykers Ridge Rd,Ramona,CA,92065,849000,3,2.0,92065 - Ramona,1265,109335,2012,,671,,Sold,,,https://www.redfin.com/CA/Ramona/878-Rykers-Ridge-Rd-92065/home/4286689,CRMLS,PTP2407208,N,Y,33.0434673,-116.8426828
PAST SALE,January-16-2025,Single Family Residential,16553 Dartolo Rd,Ramona,CA,92065,900000,4,2.5,92065 - Ramona,2016,21780,1998,,446,155,Sold,,,https://www.redfin.com/CA/Ramona/16553-Dartolo-Rd-92065/home/4315437,CRMLS,NDP2410421,N,Y,33.0146463,-116.7901614
PAST SALE,December-12-2024,Single Family Residential,23812 Oak Meadow Dr,Ramona,CA,92065,750000,4,2.0,Ramona,1650,5,1987,,455,155,Sold,,,https://www.redfin.com/CA/Ramona/23812-Oak-Meadow-Dr-92065/home/4309594,SDMLS,240024853,N,Y,33.0162625,-116.8140225
PAST SALE,January-15-2025,Single Family Residential,24601 Watt Rd,Ramona,CA,92065,775000,3,2.0,92065 - Ramona,1649,24393,1980,,470,165,Sold,,,https://www.redfin.com/CA/Ramona/24601-Watt-Rd-92065/home/4305921,CRMLS,NDP2410235,N,Y,33.0091273,-116.7992908
