SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Vacant Land,5925 Camino Baja Cerro,Fallbrook,CA,92028,412000,,,,,110207,,,,,,,,https://www.redfin.com/CA/Fallbrook/5925-Camino-Baja-Cerro-92028/home/21853186,,,N,Y,33.2932506,-117.2761667
PAST SALE,February-27-2025,Single Family Residential,3997 Sleeping Indian Rd,Fallbrook,CA,92028,1700000,4,3.0,92028 - Fallbrook,2804,66646,1991,,606,,Sold,,,https://www.redfin.com/CA/Fallbrook/3997-Sleeping-Indian-Rd-92028/home/3101403,CRMLS,SW25002490,N,Y,33.3201155,-117.2627892
PAST SALE,January-15-2025,Single Family Residential,803 El Caballo Dr,Oceanside,CA,92057,875000,3,2.0,92057 - Oceanside,1594,7833,2001,,549,80,Sold,,,https://www.redfin.com/CA/Oceanside/803-El-Caballo-Dr-92057/home/6297648,CRMLS,NDP2410431,N,Y,33.2660334,-117.2953433
PAST SALE,December-20-2024,Single Family Residential,817 Tumbleweed Ln,Fallbrook,CA,92028,1600000,4,3.0,92028 - Fallbrook,3119,95832,1979,,513,,Sold,,,https://www.redfin.com/CA/Fallbrook/817-Tumbleweed-Ln-92028/home/3101384,CRMLS,NDP2409697,N,Y,33.3165649,-117.2652713
PAST SALE,January-6-2025,Single Family Residential,1068 Greenway Rd,Oceanside,CA,92057,1015000,6,6.0,92057 - Oceanside,3300,8276,2004,,308,150,Sold,,,https://www.redfin.com/CA/Oceanside/1068-Greenway-Rd-92057/home/6646378,CRMLS,NDP2408747,N,Y,33.2750534,-117.295291
PAST SALE,February-18-2025,Single Family Residential,4904 Conejo Rd,Fallbrook,CA,92028,1050000,2,2.0,92028 - Fallbrook,2185,104979,2001,,481,,Sold,,,https://www.redfin.com/CA/Fallbrook/4904-Conejo-Rd-92028/home/3101934,CRMLS,NDP2409528,N,Y,33.3053734,-117.2669218
PAST SALE,December-13-2024,Single Family Residential,1189 Parkview Dr,Oceanside,CA,92057,1290000,5,4.0,92057 - Oceanside,3448,5665,2006,,374,150,Sold,,,https://www.redfin.com/CA/Oceanside/1189-Parkview-Dr-92057/home/12156307,CRMLS,NDP2407767,N,Y,33.2689005,-117.2950051
PAST SALE,January-14-2025,Single Family Residential,4613 Sleeping Indian Rd,Fallbrook,CA,92028,1104000,4,2.0,Fallbrook,2388,108029,1980,,462,,Sold,,,https://www.redfin.com/CA/Fallbrook/4613-Sleeping-Indian-Rd-92028/home/3101746,CRMLS,SW24182676,N,Y,33.3074126,-117.2684969
PAST SALE,December-27-2024,Vacant Land,455 Wilshire Rd,Oceanside,CA,92057,1100000,,,92057 - Oceanside,,667339,,,,,Sold,,,https://www.redfin.com/CA/Oceanside/455-Wilshire-Rd-92057/home/22725298,CRMLS,NDP2406938,N,Y,33.2700651,-117.2796211
PAST SALE,January-15-2025,Single Family Residential,1066 Village Dr,Oceanside,CA,92057,1778000,6,3.5,Oceanside,4129,,2012,,431,187,Sold,,,https://www.redfin.com/CA/Oceanside/1066-Village-Dr-92057/home/22826910,SDMLS,240015414,N,Y,33.2719868,-117.2850578
PAST SALE,January-15-2025,Single Family Residential,5006 Medalist Ct,Oceanside,CA,92057,1650000,4,3.5,92057 - Oceanside,4270,10890,2007,,386,150,Sold,,,https://www.redfin.com/CA/Oceanside/5006-Medalist-Ct-92057/home/17204744,CRMLS,NDP2405093,N,Y,33.2787626,-117.2854277
