SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Multi-Family (2-4 Unit),850 Valley Ave #842,Solana Beach,CA,92075,1980000,4,4.0,,1582,10890,1945,,1252,,,,,https://www.redfin.com/CA/Solana-Beach/850-Valley-Ave-92075/unit-842/home/4394662,,,N,Y,32.9838174,-117.2580242
PAST SALE,January-8-2025,Townhouse,880 Del Mar Downs,Solana Beach,CA,92075,1487500,2,2.5,92075 - Solana Beach,2068,,1991,,719,580,Sold,,,https://www.redfin.com/CA/Solana-Beach/880-Del-Mar-Downs-Rd-92075/home/4399951,CRMLS,NDP2500253,N,Y,32.9830553,-117.2627604
PAST SALE,February-10-2025,Condo/Co-op,435 S Sierra Ave #115,Solana Beach,CA,92075,1599000,2,1.5,92075 - Solana Beach,1008,364597,1975,,1586,775,Sold,,,https://www.redfin.com/CA/Solana-Beach/435-S-Sierra-Ave-92075/unit-115/home/4354038,CRMLS,NDP2410575,N,Y,32.9864093,-117.2727094
PAST SALE,March-3-2025,Single Family Residential,607 Santa Rosita,Solana Beach,CA,92075,2275000,4,2.0,92075 - Solana Beach,1876,9779,1976,,1213,68,Sold,,,https://www.redfin.com/CA/Solana-Beach/607-Santa-Rosita-92075/home/4166246,CRMLS,NDP2500715,N,Y,33.0063295,-117.2520418
PAST SALE,January-24-2025,Single Family Residential,572 San Lucas Dr,Solana Beach,CA,92075,3850000,3,2.5,92075 - Solana Beach,2959,25700,1972,,1301,33,Sold,,,https://www.redfin.com/CA/Solana-Beach/572-San-Lucas-Dr-92075/home/4399739,CRMLS,NDP2500074,N,Y,32.9878833,-117.2430729
PAST SALE,February-18-2025,Townhouse,809 Highland Dr,Solana Beach,CA,92075,1350000,3,2.5,92075 - Solana Beach,1752,7603,1986,,771,420,Sold,,,https://www.redfin.com/CA/Solana-Beach/809-Highland-Dr-92075/home/4395215,CRMLS,NDP2500698,N,Y,32.9842039,-117.2553737
PAST SALE,December-12-2024,Condo/Co-op,325 S Sierra Ave #35,Solana Beach,CA,92075,1720000,2,2.0,92075 - Solana Beach,1400,,1973,,1229,690,Sold,,,https://www.redfin.com/CA/Solana-Beach/325-S-Sierra-Ave-92075/unit-35/home/4353153,CRMLS,NDP2409780,N,Y,32.9877198,-117.2730584
PAST SALE,February-26-2025,Condo/Co-op,585 S Sierra Ave #21,Solana Beach,CA,92075,1500000,2,2.5,92075 - Solana Beach,1608,205603,1974,,933,800,Sold,,,https://www.redfin.com/CA/Solana-Beach/585-S-Sierra-Ave-92075/unit-21/home/4356616,CRMLS,NDP2500905,N,Y,32.9841201,-117.2716216
PAST SALE,January-6-2025,Single Family Residential,708 E Solana Cir,Solana Beach,CA,92075,2275000,2,2.0,Solana Beach,1591,4300,1968,,1430,100,Sold,,,https://www.redfin.com/CA/Solana-Beach/708-E-Solana-Cir-92075/home/4395408,SDMLS,240027746,N,Y,32.983689,-117.2651611
PAST SALE,December-27-2024,Condo/Co-op,190 Del Mar Shores Ter #44,Solana Beach,CA,92075,1355000,2,2.0,Solana Beach,1322,130328,1987,,1025,700,Sold,,,https://www.redfin.com/CA/Solana-Beach/190-Del-Mar-Shores-Ter-92075/unit-44/home/4370926,SDMLS,240026603,N,Y,32.9817429,-117.2720144
PAST SALE,February-19-2025,Single Family Residential,1407 San Lucas Ct,Solana Beach,CA,92075,3200000,3,2.0,92075 - Solana Beach,2244,22700,1970,,1426,31,Sold,,,https://www.redfin.com/CA/Solana-Beach/1407-San-Lucas-Ct-92075/home/4399655,CRMLS,NDP2500552,N,Y,32.9920901,-117.2456277
PAST SALE,January-2-2025,Multi-Family (2-4 Unit),842-850 Valley Ave,Solana Beach,CA,92075,1980000,4,4.0,Solana Beach,1582,8905,1945,,1252,,Sold,,,https://www.redfin.com/CA/Solana-Beach/842-Valley-Ave-92075/home/190072520,SDMLS,240025497,N,Y,32.9837949,-117.2580707
PAST SALE,December-26-2024,Townhouse,1111 Santa Helena Park Ct,Solana Beach,CA,92075,1400000,3,2.5,Solana Beach,1737,309786,1977,,806,612,Sold,,,https://www.redfin.com/CA/Solana-Beach/1111-Santa-Helena-Park-Ct-92075/home/4159058,SDMLS,240025080,N,Y,32.998064,-117.253802
PAST SALE,February-28-2025,Condo/Co-op,127 Ebano Ct,Solana Beach,CA,92075,1530000,3,2.0,92075 - Solana Beach,1593,,1972,,960,670,Sold,,,https://www.redfin.com/CA/Solana-Beach/127-Ebano-Ct-92075/home/4164582,CRMLS,NDP2500565,N,Y,32.9949479,-117.2489947
PAST SALE,December-27-2024,Single Family Residential,417 Santa Victoria,Solana Beach,CA,92075,2058000,3,2.0,Solana Beach,2071,24829,1979,,994,125,Sold,,,https://www.redfin.com/CA/Solana-Beach/417-Santa-Victoria-92075/home/4166410,SDMLS,240024903,N,Y,33.0063853,-117.2439349
