SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,December-24-2024,Single Family Residential,1002 San Pablo Dr,San Marcos,CA,92078,1320000,4,2.0,92078 - San Marcos,1926,8500,1965,,685,,Sold,,,https://www.redfin.com/CA/San-Marcos/1002-San-Pablo-Dr-92078/home/3841872,CRMLS,PTP2407377,N,Y,33.1250621,-117.1989191
PAST SALE,,Condo/Co-op,457 Almond Rd #117,San Marcos,CA,92078,615000,2,3.0,,879,,2004,,700,,,,,https://www.redfin.com/CA/San-Marcos/457-Almond-Rd-92078/unit-117/home/6645792,,,N,Y,33.121223,-117.163434
PAST SALE,,Single Family Residential,1238 San Julian Dr,San Marcos,CA,92078,1160000,3,3.0,,2378,8000,1971,,488,,,,,https://www.redfin.com/CA/San-Marcos/1238-San-Julian-Dr-92078/home/3856747,,,N,Y,33.1201136,-117.2014119
PAST SALE,February-20-2025,Condo/Co-op,1682 Circa Del Lago Unit A109,San Marcos,CA,92078,155000,1,1.0,92078 - San Marcos,660,,1986,,235,3033,Sold,,,https://www.redfin.com/CA/San-Marcos/1682-Circa-Del-Lago-92078/unit-A109/home/3846347,CRMLS,NDP2501623,N,Y,33.1229565,-117.210652
PAST SALE,March-5-2025,Townhouse,2447 Longstaff Ct,San Marcos,CA,92078,880000,3,3.5,San Marcos,1560,,2006,,564,390,Sold,,,https://www.redfin.com/CA/San-Marcos/2447-Longstaff-Ct-92078/home/12164237,SDMLS,250017826,N,Y,33.1007937,-117.2151675
PAST SALE,,Mobile/Manufactured Home,1175 La Moree Rd #61,San Marcos,CA,92078,305000,,,,,881654,,,,,,,,https://www.redfin.com/CA/San-Marcos/1175-La-Moree-Rd-92078/unit-61/home/17194753,,,N,Y,33.1286935,-117.1345417
PAST SALE,December-16-2024,Mobile/Manufactured Home,1930 W San Marcos Blvd #213,San Marcos,CA,92078,285000,2,2.0,Palomar Estates West,1248,3500,1981,,228,,Sold,,,https://www.redfin.com/CA/San-Marcos/1930-W-San-Marcos-Blvd-92078/unit-213/home/17211475,CRMLS,PTP2406945,N,Y,33.1386429,-117.2148047
PAST SALE,,Condo/Co-op,1271 Granada Way,San Marcos,CA,92078,785000,3,2.0,,1381,,1980,,568,,,,,https://www.redfin.com/CA/San-Marcos/1271-Granada-Way-92078/home/3846549,,,N,Y,33.1273898,-117.1954086
PAST SALE,January-22-2025,Single Family Residential,1035 San Julian Dr,San Marcos,CA,92078,1165000,3,2.0,92078 - San Marcos,2222,7800,1965,,524,,Sold,,,https://www.redfin.com/CA/San-Marcos/1035-San-Julian-Dr-92078/home/3841982,CRMLS,NDP2500526,N,Y,33.1236798,-117.1997824
