SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Vacant Land,16024 Vesper Rd Unit T,Valley Center,CA,92082,320000,,,,,97139,,,,,,,,https://www.redfin.com/CA/Valley-Center/16024-Vesper-Rd-92082/unit-T/home/3621775,,,N,Y,33.2362739,-116.9837559
PAST SALE,,Vacant Land,Santa Catalina Rd,Valley Center,CA,92082,140000,,,,,277477,,,,,,,,https://www.redfin.com/CA/Valley-Center/Santa-Catalina-Rd-92082/home/40945115,,,N,Y,33.308386,-117.080182
PAST SALE,,Single Family Residential,13950 Oakwood Glen Pl #13952,Valley Center,CA,92082,865000,4,2.0,,1707,108900,2004,,507,,,,,https://www.redfin.com/CA/Valley-Center/13950-Oakwood-Glen-Pl-92082/unit-13952/home/3619113,,,N,Y,33.245431,-117.030356
PAST SALE,,Vacant Land,Tyler Rd,Valley Center,CA,92082,300000,,,,,74052,,,,,,,,https://www.redfin.com/CA/Valley-Center/Tyler-Rd-92082/home/22714776,,,N,Y,33.289568,-117.01871
PAST SALE,March-4-2025,Single Family Residential,18915 Littlefield Ln,Valley Center,CA,92082,1325000,7,5.5,Valley Center,5088,110642,1979,,260,,Sold,,,https://www.redfin.com/CA/Valley-Center/18915-Littlefield-Ln-92082/home/3624097,SDMLS,250018398,N,Y,33.1996736,-116.9397942
PAST SALE,January-30-2025,Single Family Residential,27155 Silver Berry Way,Valley Center,CA,92082,1400000,5,4.5,92082 - Valley Center,4213,97574,2006,,332,175,Sold,,,https://www.redfin.com/CA/Valley-Center/27155-Silver-Berry-Way-92082/home/7500480,CRMLS,NDP2410675,N,Y,33.2046149,-117.0401314
PAST SALE,December-11-2024,Single Family Residential,12681 Lonesome Oak Way,Valley Center,CA,92082,1100000,5,3.5,92082 - Valley Center,3550,64904,1991,,310,170,Sold,,,https://www.redfin.com/CA/Valley-Center/12681-Lonesome-Oak-Way-92082/home/3602812,CRMLS,NDP2409745,N,Y,33.2308979,-117.0515517
PAST SALE,February-11-2025,Single Family Residential,27866 Silo Ln,Valley Center,CA,92082,735000,3,2.5,92082 - Valley Center,2163,3116,2023,,340,250,Sold,,,https://www.redfin.com/CA/Valley-Center/27866-Silo-Ln-92082/home/172049616,CRMLS,PTP2500390,N,Y,33.215119,-117.0363652
PAST SALE,December-23-2024,Single Family Residential,13680 Little Pond Rd,Valley Center,CA,92082,875000,6,3.0,Valley Center,2613,218671,2002,,335,,Sold,,,https://www.redfin.com/CA/Valley-Center/13680-Little-Pond-Rd-92082/home/6339150,SDMLS,240027576,N,Y,33.2470927,-117.0404183
PAST SALE,January-7-2025,Single Family Residential,13952 Oakwood Glen Pl,Valley Center,CA,92082,865000,4,2.0,Valley Center,1707,108900,2004,,507,,Sold,,,https://www.redfin.com/CA/Valley-Center/13952-Oakwood-Glen-Pl-92082/home/185506385,CRMLS,SW24244585,N,Y,33.2454577,-117.0309741
PAST SALE,February-14-2025,Single Family Residential,12224 Lilac Hl,Valley Center,CA,92082,816500,3,2.0,Valley Center,2154,,1988,,379,,Sold,,,https://www.redfin.com/CA/Valley-Center/12224-Lilac-Hl-92082/home/3144914,SDMLS,250016951,N,Y,33.2728057,-117.0800509
PAST SALE,February-18-2025,Vacant Land,12500 Mesa Verde Dr,Valley Center,CA,92082,432500,,,92082 - Valley Center,,581090,,,,,Sold,,,https://www.redfin.com/CA/Valley-Center/12500-Mesa-Verde-Dr-92082/home/18287395,CRMLS,NDP2500813,N,Y,33.275365,-117.060551
PAST SALE,December-27-2024,Single Family Residential,32610 Lilac Rd,Valley Center,CA,92082,995850,3,3.0,92082 - Valley Center,3084,220849,2003,,323,,Sold,,,https://www.redfin.com/CA/Valley-Center/32610-Lilac-Rd-92082/home/3138853,CRMLS,NDP2410499,N,Y,33.3029793,-117.0854344
PAST SALE,January-8-2025,Single Family Residential,16782 Lake Wohlford Ln,Valley Center,CA,92082,895000,3,2.0,92082 - Valley Center,1485,98445,1989,,603,,Sold,,,https://www.redfin.com/CA/Valley-Center/16782-Lake-Wohlford-Ln-92082/home/3622309,CRMLS,PTP2407469,N,Y,33.2167801,-116.9676504
PAST SALE,January-2-2025,Single Family Residential,28007 Harvest Ct,Valley Center,CA,92082,740000,3,2.5,92082 - Valley Center,2185,3893,2022,,339,250,Sold,,,https://www.redfin.com/CA/Valley-Center/28007-Harvest-Ct-92082/home/172049647,CRMLS,NDP2410306,N,Y,33.2143169,-117.0341007
PAST SALE,January-30-2025,Vacant Land,6 Santa Catalina Rd,Valley Center,CA,92082,140000,0,,Valley Center,,277477,,,,,Sold,,,https://www.redfin.com/CA/Unknown/6-Santa-Catalina-Rd-92082/home/194040529,SDMLS,240028839,N,Y,33.3083670976663,-117.082362473907
PAST SALE,February-19-2025,Vacant Land,27960 Valley Center Rd,Valley Center,CA,92082,400000,,,92082 - Valley Center,,12196,,,,,Sold,,,https://www.redfin.com/CA/Valley-Center/27960-Valley-Center-Rd-92082/home/17959127,CRMLS,NDP2410711,N,Y,33.2183196,-117.0339715
