SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,January-9-2025,Single Family Residential,1344 N Santa Fe Ave,Vista,CA,92083,755000,3,2.0,Vista,1380,12857,1990,,547,,Sold,,,https://www.redfin.com/CA/Vista/1344-N-Santa-Fe-Ave-92083/home/3326507,SDMLS,240024521,N,Y,33.2188661,-117.2455932
PAST SALE,,Condo/Co-op,327 Windy Ln,Vista,CA,92083,343000,1,1.0,,856,,1986,,401,,,,,https://www.redfin.com/CA/Vista/327-Windy-Ln-92083/home/3376371,,,N,Y,33.2009533,-117.2530655
PAST SALE,January-17-2025,Multi-Family (2-4 Unit),440-448 W Los Angeles Dr,Vistta,CA,92083,900000,6,4.0,San Diego,3370,20000,1950,,267,,Sold,,,https://www.redfin.com/CA/Vista/440-W-Los-Angeles-Dr-92083/home/3369239,SDMLS,250000429,N,Y,33.2129103,-117.2513541
PAST SALE,,Single Family Residential,1447 Olive Ave,Vista,CA,92083,700000,3,2.0,,1536,273992,1977,,456,,,,,https://www.redfin.com/CA/Vista/1447-Olive-Ave-92083/home/3361635,,,N,Y,33.2051058,-117.2716445
PAST SALE,,Condo/Co-op,351 N Melrose Dr Unit A,Vista,CA,92083,169000,3,2.0,,1298,,1981,,130,,,,,https://www.redfin.com/CA/Vista/351-N-Melrose-Dr-92083/unit-A/home/3371140,,,N,Y,33.2017779,-117.2540398
PAST SALE,March-7-2025,Condo/Co-op,317 N Melrose Dr Unit H,Vista,CA,92083,365000,1,1.0,92083 - Vista,892,,1981,,409,450,Sold,,,https://www.redfin.com/CA/Vista/317-N-Melrose-Dr-92083/unit-H/home/3371363,CRMLS,NDP2501059,N,Y,33.2008584,-117.2546633
PAST SALE,January-7-2025,Single Family Residential,633 Shuboro St,Vista,CA,92083,702000,3,2.0,92083 - Vista,1050,,1964,,669,,Sold,,,https://www.redfin.com/CA/Vista/633-Shuboro-St-92083/home/3326629,CRMLS,NDP2410561,N,Y,33.2097172,-117.2566595
PAST SALE,February-28-2025,Single Family Residential,780 Arbor Glen Ln,Vista,CA,92081,1020000,3,2.5,92081 - Vista,2004,4086,2011,,509,240,Sold,,,https://www.redfin.com/CA/Vista/780-Arbor-Glen-Ln-92081/home/22643279,CRMLS,NDP2500983,N,Y,33.1633123,-117.2206513
PAST SALE,January-21-2025,Single Family Residential,142 Camino Corto,Vista,CA,92083,550000,1,1.0,92083 - Vista,800,7896,1949,,688,,Sold,,,https://www.redfin.com/CA/Vista/142-Camino-Corto-92083/home/3375870,CRMLS,NDP2410802,N,Y,33.2011409,-117.248384
PAST SALE,February-14-2025,Single Family Residential,1420 Steen Cir,Vista,CA,92083,810000,2,1.5,92083 - Vista,1236,10100,1969,,655,,Sold,,,https://www.redfin.com/CA/Vista/1420-Steen-Cir-92083/home/3524481,CRMLS,NDP2500594,N,Y,33.1828623,-117.2244516
PAST SALE,December-20-2024,Townhouse,346 Ferrara Way,Vista,CA,92083,650000,3,2.0,92083 - Vista,1150,,1992,,565,265,Sold,,,https://www.redfin.com/CA/Vista/346-Ferrara-Way-92083/home/3368385,CRMLS,NDP2409966,N,Y,33.2018579,-117.2533195
PAST SALE,March-3-2025,Single Family Residential,1156 Tylee St,Vista,CA,92083,1100000,3,2.0,92083 - Vista,1674,11100,1990,,657,,Sold,,,https://www.redfin.com/CA/Vista/1156-Tylee-St-92083/home/3366152,CRMLS,NDP2500674,N,Y,33.2004158,-117.2651327
PAST SALE,,Single Family Residential,1764 Watson Way #1762,Vista,CA,92083,1225000,2,1.0,,1470,19713,1945,,833,,,,,https://www.redfin.com/CA/Vista/1764-Watson-Way-92083/unit-1762/home/3523723,,,N,Y,33.1757028,-117.2203601
PAST SALE,January-16-2025,Single Family Residential,364 Lado De Loma,Vista,CA,92083,650000,3,1.0,92083 - Vista,1140,8195,1960,,570,,Sold,,,https://www.redfin.com/CA/Vista/364-Lado-de-Loma-Dr-92083/home/3501934,CRMLS,NDP2410673,N,Y,33.1958043,-117.2415948
PAST SALE,March-3-2025,Single Family Residential,831 Silver Dr,Vista,CA,92083,980000,3,2.5,92083 - Vista,1874,7405,2005,,523,,Sold,,,https://www.redfin.com/CA/Vista/831-Silver-Dr-92083/home/6656342,CRMLS,NDP2501072,N,Y,33.2025071,-117.2609291
PAST SALE,January-30-2025,Single Family Residential,1216 Lagan Ave,Vista,CA,92083,580000,3,1.0,Vista,1254,6000,1957,,463,,Sold,,,https://www.redfin.com/CA/Vista/1216-Lagan-Ave-92083/home/3323969,CRMLS,SW24245226,N,Y,33.2168808,-117.2481414
PAST SALE,December-31-2024,Condo/Co-op,230 Diamond Way #246,Vista,CA,92083,499000,2,2.0,92083 - Vista,878,,1986,,568,450,Sold,,,https://www.redfin.com/CA/Vista/230-Diamond-Way-92083/unit-246/home/3373651,CRMLS,NDP2410396,N,Y,33.1977598,-117.2579729
PAST SALE,February-26-2025,Single Family Residential,345 Encino Dr,Vista,CA,92083,1185000,4,2.5,92083 - Vista,1986,16909,1986,,597,,Sold,,,https://www.redfin.com/CA/Vista/345-Encino-Dr-92083/home/3300403,CRMLS,NDP2500518,N,Y,33.2254046,-117.2519226
PAST SALE,December-26-2024,Townhouse,320 Grapevine Rd #102,Vista,CA,92083,505000,2,1.5,Vista,982,45961,1986,,514,385,Sold,,,https://www.redfin.com/CA/Vista/320-Grapevine-Rd-92083/unit-102/home/3408335,SDMLS,240026935,N,Y,33.1948765,-117.275608
PAST SALE,February-12-2025,Mobile/Manufactured Home,718 Sycamore Ave #145,Vista,CA,92083,190000,2,2.0,VST,1040,2500,1971,,183,,Sold,,,https://www.redfin.com/CA/Vista/718-Sycamore-Ave-92083/unit-145/home/17211243,CRMLS,NDP2500090,N,Y,33.1645204,-117.2148071
PAST SALE,January-7-2025,Condo/Co-op,234 Candice Pl,Vista,CA,92083,400000,1,1.0,Vista,642,169635,1980,,623,420,Sold,,,https://www.redfin.com/CA/Vista/234-Candice-Pl-92083/home/3300361,CRMLS,SW24237699,N,Y,33.2252794,-117.2472869
PAST SALE,December-20-2024,Single Family Residential,1755 Cameo Dr,Vista,CA,92083,862500,4,3.0,Vista,2049,,1991,,421,,Sold,,,https://www.redfin.com/CA/Vista/1755-Cameo-Dr-92083/home/3363051,SDMLS,240024303,N,Y,33.2011161,-117.2791918
