SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-14-2025,Single Family Residential,6991 Calle Portone,Rancho Santa Fe,CA,92091,4050000,5,5.5,Rancho Santa Fe,3797,,2003,,1067,1167,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/6991-Calle-Portone-92091/home/6313063,SDMLS,250019060,N,Y,33.0571077,-117.1829864
PAST SALE,December-11-2024,Condo/Co-op,4054 Avenida Brisa,Rancho Santa Fe,CA,92091,1410000,3,2.0,Rancho Santa Fe,1567,2854,1982,,900,740,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/4054-Avenida-Brisa-92091/home/4447884,SDMLS,240027107,N,Y,32.989697,-117.2106782
PAST SALE,March-10-2025,Townhouse,4051 Avenida Brisa,Rancho Santa Fe,CA,92091,1500000,3,3.0,Rancho Santa Fe,1850,2193,1985,,811,740,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/4051-Avenida-Brisa-92091/home/4447914,SDMLS,250017587,N,Y,32.9894989,-117.2102748
PAST SALE,January-23-2025,Townhouse,16046 Via Galan,Rancho Santa Fe,CA,92091,1410000,3,2.0,92091 - Rancho Santa Fe,1683,2736,1987,,838,467,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/16046-Via-Galan-92091/home/4448365,CRMLS,NDP2410504,N,Y,32.9909382,-117.2132914
PAST SALE,January-24-2025,Single Family Residential,16208 Via Monterey,Rancho Santa Fe,CA,92091,2650000,4,4.0,92091 - Rancho Santa Fe,5320,13271,1974,,498,8,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/16208-Via-Monterey-92091/home/4445650,CRMLS,NDP2410293,N,Y,32.9952617,-117.2084033
PAST SALE,March-3-2025,Single Family Residential,14665 Calle Carla,Rancho Santa Fe,CA,92067,3100000,5,6.0,Rancho Santa Fe,4740,54450,1988,,654,54,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/14665-Calle-Carla-92067/home/6276665,SDMLS,250000898,N,Y,32.9800768,-117.1837959
PAST SALE,January-13-2025,Single Family Residential,3867 Via Reposo,Rancho Santa Fe,CA,92091,1730000,3,3.0,92091 - Rancho Santa Fe,2068,7542,1971,,837,8,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/3867-Via-Reposo-92091/home/4445913,CRMLS,NDP2410290,N,Y,32.987919,-117.2121472
PAST SALE,January-10-2025,Single Family Residential,16161 Valle De Oro,Rancho Santa Fe,CA,92091,6206791,5,5.5,Rancho Santa Fe,7975,162043,2005,,778,,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/16161-De-Oro-92091/home/4189368,SDMLS,240020388,N,Y,33.0067705,-117.2023397
PAST SALE,March-5-2025,Single Family Residential,6185 Clubhouse Dr,Rancho Santa Fe,CA,92067,4680000,4,4.5,Rancho Santa Fe,6131,30492,1997,,763,665,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/6185-Clubhouse-Dr-92067/home/4485804,SDMLS,240024289,N,Y,32.976093,-117.191677
PAST SALE,January-10-2025,Single Family Residential,14465 Bellvista Dr,Rancho Santa Fe,CA,92067,6800000,6,8.0,Rancho Santa Fe,10492,39640,1999,,648,665,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/14465-Bellvista-Dr-92067/home/4485725,SDMLS,240019646,N,Y,32.980588,-117.197546
PAST SALE,January-31-2025,Single Family Residential,6325 Clubhouse Dr,Rancho Santa Fe,CA,92067,4809000,5,5.5,92067 - Rancho Santa Fe,6117,46173,2000,,786,665,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/6325-Clubhouse-Dr-92067/home/4485868,CRMLS,NDP2404631,N,Y,32.974761,-117.186946
PAST SALE,February-11-2025,Vacant Land,6219 Calle Ponte Bella,Rancho Santa Fe,CA,92091,4500000,0,,Rancho Santa Fe,,,,,,655,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/6219-Ponte-Bella-92091/home/172050409,SDMLS,240013912,N,Y,33.0583362,-117.1993966
PAST SALE,December-23-2024,Vacant Land,14905 Calle Privada,Rancho Santa Fe,CA,92067,1275000,0,,Rancho Santa Fe,,103237,,,,,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/14905-Calle-Privada-92091/home/22459602,SDMLS,240010261,N,Y,32.985306,-117.188008
PAST SALE,January-10-2025,Single Family Residential,6343 Clubhouse Dr,Rancho Santa Fe,CA,92067,13850000,5,6.0,92067 - Rancho Santa Fe,7973,52707,1999,,1737,665,Sold,,,https://www.redfin.com/CA/Rancho-Santa-Fe/6343-Clubhouse-Dr-92067/home/4485864,CRMLS,NDP2305899,N,Y,32.974328,-117.186529
