SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-20-2025,Single Family Residential,625 10th,Coronado,CA,92118,2650000,3,2.0,Coronado Village,1164,,1934,,2277,,Sold,,,https://www.redfin.com/CA/Coronado/625-10th-St-92118/home/5790969,SDMLS,250019450,N,Y,32.6880573,-117.1845818
PAST SALE,January-7-2025,Condo/Co-op,1770 Avenida del Mundo #1602,Coronado,CA,92118,2775000,2,2.0,Coronado Shores,1215,,1974,,2284,1147,Sold,,,https://www.redfin.com/CA/Coronado/1770-Avenida-Del-Mundo-92118/unit-1602/home/142956841,SDMLS,250000457,N,Y,32.6769217,-117.1730721
PAST SALE,February-10-2025,Single Family Residential,443 H Ave,Coronado,CA,92118,2000000,3,2.0,Coronado Village,1330,,1944,,1504,,Sold,,,https://www.redfin.com/CA/Coronado/443-H-Ave-92118/home/5782586,SDMLS,250018643,N,Y,32.695961,-117.1806455
PAST SALE,March-5-2025,Condo/Co-op,1720 Avenida Del Mundo #1402,Coronado,CA,92118,4000000,2,2.0,92118 - Coronado,1324,,1973,,3021,757,Sold,,,https://www.redfin.com/CA/Coronado/1720-Avenida-del-Mundo-92118/unit-1402/home/5810910,CRMLS,PTP2501087,N,Y,32.677968,-117.176261
PAST SALE,February-24-2025,Single Family Residential,912 A Ave,Coronado,CA,92118,6450000,5,5.5,Coronado Village,3626,6743,2017,,1779,,Sold,,,https://www.redfin.com/CA/Coronado/912-A-Ave-92118/home/5791607,SDMLS,250020433,N,Y,32.6857165,-117.1760213
PAST SALE,January-31-2025,Single Family Residential,770 A Ave,Coronado,CA,92118,3072000,5,3.0,Coronado Village,1999,,1935,,1537,,Sold,,,https://www.redfin.com/CA/Coronado/770-A-Ave-92118/home/5788370,SDMLS,250017796,N,Y,32.6877144,-117.1749236
PAST SALE,December-18-2024,Single Family Residential,603 J,Coronado,CA,92118,3800000,3,3.0,Coronado Village,1920,,2008,,1979,,Sold,,,https://www.redfin.com/CA/Coronado/603-J-Ave-92118/home/5785516,SDMLS,240028664,N,Y,32.6946322,-117.1842149
PAST SALE,March-7-2025,Single Family Residential,331 Alameda Blvd,Coronado,CA,92118,2420000,3,3.5,Coronado Village,3300,3500,1991,,733,,Sold,,,https://www.redfin.com/CA/Coronado/331-Alameda-Blvd-92118/home/5780666,SDMLS,250017041,N,Y,32.6990067,-117.1829737
PAST SALE,February-18-2025,Single Family Residential,847 B Ave,Coronado,CA,92118,2500000,2,2.5,Coronado Village,1855,3573,1983,,1348,,Sold,,,https://www.redfin.com/CA/Coronado/847-B-Ave-92118/home/5790373,SDMLS,250017053,N,Y,32.6868022,-117.1761142
