SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,February-18-2025,Single Family Residential,6922 Enders Ave,San Diego,CA,92122,1525000,5,2.0,San Diego,1680,7400,1970,,908,,Sold,,,https://www.redfin.com/CA/San-Diego/6922-Enders-Ave-92122/home/4898325,SDMLS,250017214,N,Y,32.8566603,-117.1893142
PAST SALE,February-3-2025,Condo/Co-op,3915 Nobel Dr #14,San Diego,CA,92122,725000,2,2.5,La Jolla,1100,393308,1987,,659,230,Sold,,,https://www.redfin.com/CA/San-Diego/3915-Nobel-Dr-92122/unit-14/home/6648906,SDMLS,240017997,N,Y,32.8681618,-117.2223731
PAST SALE,February-18-2025,Condo/Co-op,8328 Regents Rd Unit 1B,San Diego,CA,92122,545000,2,2.0,University City,894,61285,1985,,610,480,Sold,,,https://www.redfin.com/CA/San-Diego/8328-Regents-Rd-92122/unit-1B/home/4869588,SDMLS,250019236,N,Y,32.8662646,-117.2217028
PAST SALE,March-3-2025,Single Family Residential,3976 Caminito Silvela,San Diego,CA,92122,877500,2,2.0,San Diego,1112,3552,1988,,789,,Sold,,,https://www.redfin.com/CA/San-Diego/3976-Caminito-Silvela-92122/home/4890695,SDMLS,250019278,N,Y,32.8592368,-117.2283538
PAST SALE,,Single Family Residential,6086 Via Regla,San Diego,CA,92122,800000,4,2.0,,3072,10500,1973,,260,,,,,https://www.redfin.com/CA/San-Diego/6086-Via-Regla-92122/home/4903470,,,N,Y,32.849129,-117.1885491
PAST SALE,January-16-2025,Condo/Co-op,3890 Nobel Dr #1904,San Diego,CA,92122,750000,2,2.0,92122 - University City,1200,44004,1991,,625,3720,Sold,,,https://www.redfin.com/CA/San-Diego/3890-Nobel-Dr-92122/unit-1904/home/4871540,CRMLS,NDP2500208,N,Y,32.868689,-117.223012
PAST SALE,January-21-2025,Condo/Co-op,3975 Camino Lindo,San Diego,CA,92122,875000,3,2.5,92122 - University City,1380,,1978,,634,485,Sold,,,https://www.redfin.com/CA/San-Diego/3975-Camino-Lindo-92122/home/6406161,CRMLS,NDP2410318,N,Y,32.859189,-117.219724
PAST SALE,January-9-2025,Condo/Co-op,8148 Avenida Navidad #11,San Diego,CA,92122,675000,2,2.0,University City,1080,79599,1987,,625,550,Sold,,,https://www.redfin.com/CA/San-Diego/8148-Avenida-Navidad-92122/unit-11/home/4871586,SDMLS,240028350,N,Y,32.8649453,-117.2119169
PAST SALE,January-14-2025,Condo/Co-op,3890 Nobel Dr #1704,San Diego,CA,92122,800000,2,2.0,University City,1536,,1991,,521,3759,Sold,,,https://www.redfin.com/CA/San-Diego/3890-Nobel-Dr-92122/unit-1704/home/4871516,SDMLS,240026629,N,Y,32.868689,-117.223012
