SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,January-2-2025,Single Family Residential,1730 Thelborn Way,San Diego,CA,92154,775000,4,2.0,San Diego,1336,5100,1973,,580,,Sold,,,https://www.redfin.com/CA/San-Diego/1730-Thelborn-Way-92154/home/6178511,SDMLS,240028020,N,Y,32.5668581,-117.0963968
PAST SALE,January-22-2025,Townhouse,5481 Seacliff Pl #94,San Diego,CA,92154,690000,4,3.5,San Diego,1946,,2022,,355,230,Sold,,,https://www.redfin.com/CA/San-Diego/5481-Seacliff-Pl-92154/unit-94/home/185186969,SDMLS,240025726,N,Y,32.567449,-117.0110654
PAST SALE,February-4-2025,Vacant Land,0 Secano St,San Diego,CA,92154,240000,,,San Diego,39640,39640,,,6,,Sold,,,https://www.redfin.com/CA/San-Diego/Secano-St-92154/home/179973367,"bridgeMLS, Bay East AOR, or Contra Costa AOR",CROC25000209,N,Y,32.557342,-116.989322
PAST SALE,January-24-2025,Single Family Residential,2723 Lungos Ct,San Diego,CA,92154,640000,5,3.0,San Diego,2135,,1986,,300,,Sold,,,https://www.redfin.com/CA/San-Diego/2723-Lungos-Ct-92154/home/6153190,SDMLS,250017271,N,Y,32.5844513,-117.073487
PAST SALE,,Single Family Residential,3776 Enero Ct,San Diego,CA,92154,410000,2,2.0,,1822,6500,1969,,225,,,,,https://www.redfin.com/CA/San-Diego/3776-Enero-Ct-92154/home/6156882,,,N,Y,32.5743388,-117.0521588
PAST SALE,December-31-2024,Single Family Residential,1252 Surfwood Ln,San Diego,CA,92154,1138000,6,3.0,South Sd,2872,5219,2001,,396,51,Sold,,,https://www.redfin.com/CA/San-Diego/1252-Surfwood-Ln-92154/home/6294794,SDMLS,240028983,N,Y,32.574361,-117.0238768
PAST SALE,,Single Family Residential,715 Kedzie Ave,San Diego,CA,92154,575000,4,2.0,,1200,6300,1969,,479,,,,,https://www.redfin.com/CA/San-Diego/715-Kedzie-Ave-92154/home/6162951,,,N,Y,32.5834774,-117.0434904
PAST SALE,February-13-2025,Condo/Co-op,2659 Caminito Secoya,San Diego,CA,92154,625000,4,2.5,San Diego,1592,1720,1974,,393,280,Sold,,,https://www.redfin.com/CA/San-Diego/2659-Caminito-Secoya-92154/home/6174462,SDMLS,250000665,N,Y,32.5735293,-117.0763104
PAST SALE,December-19-2024,Single Family Residential,1010 Reef Dr,San Diego,CA,92154,735000,3,2.0,South Sd,1308,6700,1972,,562,,Sold,,,https://www.redfin.com/CA/San-Diego/1010-Reef-Dr-92154/home/6159846,SDMLS,240027132,N,Y,32.5787463,-117.065023
PAST SALE,January-28-2025,Condo/Co-op,3710 Arey Dr #4,San Diego,CA,92154,544000,3,2.0,San Diego,1071,250349,1976,,508,514,Sold,,,https://www.redfin.com/CA/San-Diego/3710-Arey-Dr-92154/unit-4/home/6448112,SDMLS,240028957,N,Y,32.579018,-117.0538694
PAST SALE,February-21-2025,Single Family Residential,4221 Darwin Way,San Diego,CA,92154,718500,3,2.0,San Diego,1140,6800,1971,,630,,Sold,,,https://www.redfin.com/CA/San-Diego/4221-Darwin-Way-92154/home/6164564,SDMLS,250001131,N,Y,32.57663,-117.0439709
PAST SALE,February-14-2025,Condo/Co-op,5240 Rockfish Ln #109,San Diego,CA,92154,600000,2,2.5,San Diego,1351,,2020,,444,462,Sold,,,https://www.redfin.com/CA/San-Diego/5240-Rockfish-Ln-92154/unit-109/home/167668804,SDMLS,250000979,N,Y,32.5712461,-117.0210448
PAST SALE,February-27-2025,Single Family Residential,968 Churrituck Dr,San Diego,CA,92154,715000,3,2.0,San Diego,1248,5000,1977,,573,,Sold,,,https://www.redfin.com/CA/San-Diego/968-Churrituck-Dr-92154/home/6160217,SDMLS,250017218,N,Y,32.5793439,-117.0583502
PAST SALE,February-26-2025,Single Family Residential,861 Desty St,San Diego,CA,92154,838000,4,2.0,92154 - Otay Mesa,1507,6726,1973,,556,,Sold,,,https://www.redfin.com/CA/San-Diego/861-Desty-St-92154/home/6149955,CRMLS,PTP2500844,N,Y,32.5813471,-117.0769537
PAST SALE,January-8-2025,Single Family Residential,1050 Piccard Ave,San Diego,CA,92154,820000,3,2.0,92154 - Otay Mesa,1460,5000,1969,,562,,Sold,,,https://www.redfin.com/CA/San-Diego/1050-Piccard-Ave-92154/home/6162367,CRMLS,PTP2407492,N,Y,32.5777366,-117.0504933
PAST SALE,March-6-2025,Single Family Residential,3450 Robb Roy Pl,San Diego,CA,92154,601500,3,2.0,San Diego,1248,5000,1977,,482,,Sold,,,https://www.redfin.com/CA/San-Diego/3450-Robb-Roy-Pl-92154/home/6448172,SDMLS,250018356,N,Y,32.581855,-117.0600313
PAST SALE,December-20-2024,Single Family Residential,5464 Vista San Simeon,San Diego,CA,92154,845000,3,2.5,San Diego,1931,5084,2003,,438,46,Sold,,,https://www.redfin.com/CA/San-Diego/5464-Vista-San-Simeon-92154/home/6459424,SDMLS,240027294,N,Y,32.5829794,-117.0129237
PAST SALE,February-3-2025,Condo/Co-op,5464 Seacliff Pl #21,San Diego,CA,92154,586000,2,2.5,San Diego,1309,,2022,,448,230,Sold,,,https://www.redfin.com/CA/San-Diego/5464-Seacliff-Pl-92154/unit-21/home/185186912,SDMLS,250000700,N,Y,32.567902,-117.011683
PAST SALE,December-10-2024,Condo/Co-op,849 Compass Way,San Diego,CA,92154,567000,2,2.0,Spinnaker Point (SPINP),1006,,2005,,564,290,Sold,,,https://www.redfin.com/CA/San-Diego/849-Compass-Way-92154/home/6654361,CRMLS,PTP2406769,N,Y,32.5815847,-117.0195514
PAST SALE,,Single Family Residential,1411 Elm Ave,San Diego,CA,92154,1035000,5,2.0,,1608,7000,1960,,644,,,,,https://www.redfin.com/CA/San-Diego/1411-Elm-Ave-92154/home/6147671,,,N,Y,32.5804938,-117.1029402
PAST SALE,December-11-2024,Condo/Co-op,1925 Avenida Del Mexico #254,San Diego,CA,92154,480000,2,2.0,92154 - Otay Mesa,885,,1987,,542,340,Sold,,,https://www.redfin.com/CA/San-Diego/1925-Avenida-del-Mexico-92154/unit-254/home/12164896,CRMLS,PTP2406614,N,Y,32.5829123,-117.0919229
PAST SALE,January-14-2025,Single Family Residential,1181 Zurich Dr,San Diego,CA,92154,844000,4,2.0,92154 - Otay Mesa,1575,6282,1979,,536,,Sold,,,https://www.redfin.com/CA/San-Diego/1181-Zurich-Dr-92154/home/6173110,CRMLS,NDP2410558,N,Y,32.5752002,-117.0899579
PAST SALE,February-25-2025,Townhouse,1698 Paseo Aurora,San Diego,CA,92154,627000,4,3.0,San Diego,1597,29285,2004,,393,220,Sold,,,https://www.redfin.com/CA/San-Diego/1698-Paseo-Aurora-92154/home/6614142,SDMLS,240029046,N,Y,32.5703912,-117.0373368
PAST SALE,March-7-2025,Single Family Residential,1844 Katella,San Diego,CA,92154,755000,5,3.0,San Diego,1976,,1977,,382,,Sold,,,https://www.redfin.com/CA/San-Diego/1844-Katella-St-92154/home/6180168,SDMLS,250018288,N,Y,32.5625421,-117.0805388
PAST SALE,December-16-2024,Condo/Co-op,5230 Calle Rockfish #101,San Diego,CA,92154,699000,4,3.5,South Sd,1987,1178775,2018,,352,462,Sold,,,https://www.redfin.com/CA/San-Diego/5230-Calle-Rockfish-92154/unit-101/home/144891840,SDMLS,240026146,N,Y,32.5711406,-117.0214728
PAST SALE,January-17-2025,Condo/Co-op,4464 Avenida Aquila,San Diego,CA,92154,605000,3,2.0,South Sd,1193,,2004,,507,230,Sold,,,https://www.redfin.com/CA/San-Diego/4464-Avenida-Aquila-92154/home/7498180,SDMLS,240028322,N,Y,32.5714241,-117.0377777
PAST SALE,January-16-2025,Townhouse,6349 Avenida de las Vistas #1,San Diego,CA,92154,593000,2,2.0,92154 - Otay Mesa,1141,,2003,,520,199,Sold,,,https://www.redfin.com/CA/San-Diego/6349-Avenida-de-las-Vistas-92154/unit-1/home/6519213,CRMLS,PTP2407491,N,Y,32.579378,-117.0027207
PAST SALE,February-21-2025,Single Family Residential,3461 Robb Roy Pl,San Diego,CA,92154,815000,5,2.5,San Diego,1756,5300,1977,,464,,Sold,,,https://www.redfin.com/CA/San-Diego/3461-Robb-Roy-Pl-92154/home/6160357,SDMLS,250017724,N,Y,32.5814495,-117.0596635
PAST SALE,February-28-2025,Single Family Residential,2840 Donax,San Diego,CA,92154,685000,4,3.0,San Diego,1780,,1970,,385,,Sold,,,https://www.redfin.com/CA/San-Diego/2840-Donax-Ave-92154/home/6155879,SDMLS,250018511,N,Y,32.5815026,-117.0729529
PAST SALE,January-30-2025,Single Family Residential,5162 Seaglen Way,San Diego,CA,92154,925000,4,3.0,92154 - Otay Mesa,2130,8553,2004,,434,55,Sold,,,https://www.redfin.com/CA/San-Diego/5162-Seaglen-Way-92154/home/6552182,CRMLS,PTP2500222,N,Y,32.5758566,-117.0205824
PAST SALE,December-27-2024,Single Family Residential,4773 Sea Coral Dr,San Diego,CA,92154,1125000,6,4.0,92154 - Otay Mesa,3391,5512,2004,,332,52,Sold,,,https://www.redfin.com/CA/San-Diego/4773-Sea-Coral-Dr-92154/home/6323094,CRMLS,PTP2407149,N,Y,32.5745252,-117.0298706
PAST SALE,January-2-2025,Single Family Residential,4740 Heathbrook Ct,San Diego,CA,92154,1005000,4,3.0,San Diego,1958,4641,2000,,513,52,Sold,,,https://www.redfin.com/CA/San-Diego/4740-Heathbrook-Ct-92154/home/6221252,SDMLS,240027026,N,Y,32.5813707,-117.0310028
PAST SALE,December-23-2024,Single Family Residential,733 Manning Way,San Diego,CA,92154,835000,5,4.0,92154 - Otay Mesa,2608,13443,1969,,320,,Sold,,,https://www.redfin.com/CA/San-Diego/733-Manning-Way-92154/home/6149465,CRMLS,PTP2407446,N,Y,32.5832493,-117.0809908
PAST SALE,February-13-2025,Single Family Residential,919 ARRECIFE Ct,San Diego,CA,92154,780000,3,2.0,South Sd,1175,6400,1973,,664,,Sold,,,https://www.redfin.com/CA/San-Diego/919-Arrecife-Ct-92154/home/6165954,SDMLS,250001355,N,Y,32.5792856,-117.0410378
PAST SALE,December-11-2024,Single Family Residential,2859 Barbour Dr,San Diego,CA,92154,700000,4,2.0,92154 - Otay Mesa,1196,6800,1967,,585,,Sold,,,https://www.redfin.com/CA/San-Diego/2859-Barbour-Dr-92154/home/6153995,CRMLS,PTP2406779,N,Y,32.5804138,-117.0723115
PAST SALE,January-21-2025,Condo/Co-op,1704 San Lucius,San Diego,CA,92154,665000,3,2.5,92154 - Otay Mesa,1410,135470,2021,,472,365,Sold,,,https://www.redfin.com/CA/San-Diego/1704-San-Lucius-92154/home/174461945,CRMLS,SW24242074,N,Y,32.5640301,-117.0123696
PAST SALE,February-19-2025,Condo/Co-op,812 Compass Way,San Diego,CA,92154,620000,2,2.0,San Diego,1643,16127,2005,,377,246,Sold,,,https://www.redfin.com/CA/San-Diego/812-Compass-Way-92154/home/6654446,SDMLS,250000676,N,Y,32.5822881,-117.0198248
PAST SALE,December-26-2024,Condo/Co-op,5429 Santa Regina,San Diego,CA,92154,710000,4,3.5,San Diego,1829,,2015,,388,365,Sold,,,https://www.redfin.com/CA/San-Diego/5429-Santa-Regina-92154/home/112890300,SDMLS,SDC0000958,N,Y,32.563289,-117.014813
PAST SALE,December-27-2024,Condo/Co-op,1250 Calle Seabass #30,San Diego,CA,92154,660000,3,3.5,92154 - Otay Mesa,1626,,2017,,406,463,Sold,,,https://www.redfin.com/CA/San-Diego/1250-Calle-Seabass-92154/unit-30/home/144891699,CRMLS,PTP2406880,N,Y,32.5730016,-117.0230644
PAST SALE,February-10-2025,Mobile/Manufactured Home,1023 Outer Rd #24,San Diego,CA,92154,57500,2,1.0,San Diego,586,,1962,,98,1240,Sold,,,https://www.redfin.com/CA/San-Diego/1023-Outer-Rd-92154/unit-24/home/194345797,SDMLS,250001497,N,Y,32.5781904,-117.0818443
PAST SALE,January-24-2025,Single Family Residential,1249 Sandy Cape Ct,San Diego,CA,92154,842000,3,2.5,South Sd,1677,4629,2004,,502,55,Sold,,,https://www.redfin.com/CA/San-Diego/1249-Sandy-Cape-Ct-92154/home/6571750,CRMLS,SW24253469,N,Y,32.5732721,-117.0171023
PAST SALE,February-24-2025,Single Family Residential,1208 RIVIERA POINT St,San Diego,CA,92154,1075000,6,3.0,92154 - Otay Mesa,3092,6676,2003,,348,120,Sold,,,https://www.redfin.com/CA/San-Diego/1208-Riviera-Point-St-92154/home/6572225,CRMLS,PTP2500313,N,Y,32.5700279,-117.0341007
PAST SALE,January-27-2025,Single Family Residential,825 Narwhal St,San Diego,CA,92154,790000,3,2.0,92154 - Otay Mesa,1120,5000,1970,,705,,Sold,,,https://www.redfin.com/CA/San-Diego/825-Narwhal-St-92154/home/6155081,CRMLS,PTP2407728,N,Y,32.581709,-117.0543808
PAST SALE,December-16-2024,Single Family Residential,2569 Caulfield Dr,San Diego,CA,92154,571500,4,2.0,South Sd,1154,,1969,,495,,Sold,,,https://www.redfin.com/CA/San-Diego/2569-Caulfield-Dr-92154/home/6149667,SDMLS,240027142,N,Y,32.5784943,-117.0781716
PAST SALE,February-14-2025,Mobile/Manufactured Home,2626 Coronado Ave #101,San Diego,CA,92154,290000,3,2.0,SSD,1248,2200,1995,,232,,Sold,,,https://www.redfin.com/CA/San-Diego/2626-Coronado-Ave-92154/unit-101/home/17209114,CRMLS,PTP2407527,N,Y,32.5770715,-117.0772917
PAST SALE,December-27-2024,Single Family Residential,2606 Gould Ln,San Diego,CA,92154,760000,3,2.0,San Diego,1338,6631,1980,,568,,Sold,,,https://www.redfin.com/CA/San-Diego/2606-Gould-Ln-92154/home/6150283,SDMLS,240026931,N,Y,32.5836381,-117.0769833
PAST SALE,December-31-2024,Condo/Co-op,5301 Calle Rockfish #102,San Diego,CA,92154,660000,3,2.5,San Diego,1595,,2018,,414,462,Sold,,,https://www.redfin.com/CA/San-Diego/5301-Calle-Rockfish-92154/unit-102/home/167668821,SDMLS,240026727,N,Y,32.5706351,-117.0206054
PAST SALE,January-24-2025,Townhouse,1780 Saltaire Pl #11,San Diego,CA,92154,629750,3,2.5,San Diego,1625,126450,2015,,388,224,Sold,,,https://www.redfin.com/CA/San-Diego/1780-Saltaire-Pl-92154/unit-11/home/95963387,SDMLS,240028080,N,Y,32.5625002,-117.0259201
PAST SALE,February-28-2025,Townhouse,5350 Seacliff Pl #53,San Diego,CA,92154,585580,2,2.5,San Diego,1321,,2025,,443,382,Sold,,,https://www.redfin.com/CA/San-Diego/5350-Seacliff-Pl-92154/unit-53/home/192769579,SDMLS,240027128,N,Y,32.5678449,-117.0131837
PAST SALE,January-13-2025,Single Family Residential,1354 Kostner Dr,San Diego,CA,92154,713000,3,2.0,92154 - Otay Mesa,1460,6000,1971,,488,,Sold,,,https://www.redfin.com/CA/San-Diego/1354-Kostner-Dr-92154/home/6164383,CRMLS,PTP2406883,N,Y,32.572334,-117.0438628
PAST SALE,January-3-2025,Condo/Co-op,5476 San Alejandro,San Diego,CA,92154,665500,3,2.5,South Sd,1485,,2020,,448,360,Sold,,,https://www.redfin.com/CA/San-Diego/5476-San-Alejandro-92154/home/174461955,SDMLS,240027243,N,Y,32.564418,-117.013175
PAST SALE,December-19-2024,Single Family Residential,1213 27Th St,San Diego,CA,92154,654000,3,2.0,92154 - Otay Mesa,1178,306577,1979,,555,195,Sold,,,https://www.redfin.com/CA/San-Diego/1213-27th-St-92154/home/6154368,CRMLS,PTP2406847,N,Y,32.573501,-117.075248
PAST SALE,,Condo/Co-op,1270 Paseo Sea Breeze #27,San Diego,CA,92154,650000,3,3.0,,1442,,2017,,451,,,,,https://www.redfin.com/CA/San-Diego/1270-Paseo-Sea-Breeze-92154/unit-27/home/144891727,,,N,Y,32.5724778,-117.0223133
PAST SALE,January-7-2025,Condo/Co-op,5407 Sand Arch Ln #210,San Diego,CA,92154,590000,2,2.5,92154 - Otay Mesa,1310,,2020,,450,462,Sold,,,https://www.redfin.com/CA/San-Diego/5407-Sand-Arch-Ln-92154/unit-210/home/172051250,CRMLS,PTP2407412,N,Y,32.572481,-117.019957
PAST SALE,December-10-2024,Condo/Co-op,1911 Bluehaven Ct,San Diego,CA,92154,548000,2,2.0,92154 - Otay Mesa,1034,,1985,,530,169,Sold,,,https://www.redfin.com/CA/San-Diego/1911-Bluehaven-Ct-92154/home/6183793,CRMLS,PTP2406783,N,Y,32.5591582,-117.0658789
PAST SALE,January-28-2025,Single Family Residential,2194 Imogene Ave,San Diego,CA,92154,800000,3,2.0,92154 - Otay Mesa,1259,6500,1959,,635,,Sold,,,https://www.redfin.com/CA/San-Diego/2194-Imogene-Ave-92154/home/6174942,CRMLS,PTP2407749,N,Y,32.5722568,-117.0863521
PAST SALE,December-16-2024,Condo/Co-op,5360 Calle Rockfish #31,San Diego,CA,92154,700000,3,2.5,92154 - Otay Mesa,2014,,2019,,348,463,Sold,,,https://www.redfin.com/CA/San-Diego/5360-Calle-Rockfish-92154/unit-31/home/167668923,CRMLS,PTP2407141,N,Y,32.5715843,-117.0196857
