SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Condo/Co-op,1306 W San Ysidro Blvd Unit D,San Ysidro,CA,92173,400000,2,1.0,,945,,1985,,423,,,,,https://www.redfin.com/CA/San-Ysidro/1306-W-San-Ysidro-Blvd-92173/unit-D/home/6178784,,,N,Y,32.5638676,-117.069138
PAST SALE,January-28-2025,Single Family Residential,3954 Via Del Bardo,San Ysidro,CA,92173,795000,4,2.5,92173 - San Ysidro,1646,5100,1979,,483,,Sold,,,https://www.redfin.com/CA/San-Ysidro/3954-Via-del-Bardo-92173/home/6186378,CRMLS,PTP2407201,N,Y,32.5664653,-117.048605
PAST SALE,,Single Family Residential,3335 Anella Rd,San Ysidro,CA,92173,500000,5,3.0,,1776,4961,2001,,282,,,,,https://www.redfin.com/CA/San-Ysidro/3335-Anella-Rd-92173/home/6453144,,,N,Y,32.5445555,-117.0520489
PAST SALE,December-25-2024,Single Family Residential,4096 Beyer Blvd,San Ysidro,CA,92173,752000,5,2.0,San Ysidro,1337,,1980,,562,,Sold,,,https://www.redfin.com/CA/San-Ysidro/4096-Beyer-Blvd-92173/home/6185315,SDMLS,240019731,N,Y,32.5585467,-117.0458707
PAST SALE,January-7-2025,Single Family Residential,3603 Maguire Rd,San Ysidro,CA,92173,830000,6,3.5,92173 - San Ysidro,2020,5129,1999,,411,,Sold,,,https://www.redfin.com/CA/San-Ysidro/3603-Maguire-Rd-92173/home/6226339,CRMLS,PTP2406532,N,Y,32.5497789,-117.0526423
PAST SALE,December-17-2024,Townhouse,3584 Sunset Ln #133,San Diego,CA,92173,374000,1,1.0,San Ysidro,576,216412,1995,,649,330,Sold,,,https://www.redfin.com/CA/San-Ysidro/3584-Sunset-Ln-92173/unit-133/home/6689370,SDMLS,240026010,N,Y,32.559049,-117.0563843
PAST SALE,February-4-2025,Condo/Co-op,3560 Sunset Ln #53,San Ysidro,CA,92173,350000,2,2.0,San Ysidro,818,,1995,,428,330,Sold,,,https://www.redfin.com/CA/San-Ysidro/3560-Sunset-Ln-92173/unit-53/home/6689205,SDMLS,240027137,N,Y,32.5583725,-117.0567798
PAST SALE,February-6-2025,Condo/Co-op,291 Sycamore Rd #6,San Ysidro,CA,92173,402052,2,1.5,92173 - San Ysidro,925,46948,1996,,435,450,Sold,,,https://www.redfin.com/CA/San-Ysidro/291-Sycamore-Rd-92173/unit-6/home/7531912,CRMLS,PTP2406826,N,Y,32.5492686,-117.0453436
PAST SALE,February-18-2025,Single Family Residential,1646 Alaquinas Dr,San Ysidro,CA,92173,730000,5,2.5,92173 - San Ysidro,1795,5223,1980,,407,,Sold,,,https://www.redfin.com/CA/San-Ysidro/1646-Alaquinas-Dr-92173/home/6186628,CRMLS,PTP2406447,N,Y,32.5667326,-117.0436435
PAST SALE,,Multi-Family (2-4 Unit),168 W Hall Ave Unit 167BL,San Ysidro,CA,92173,500000,,,,,6708,2000,,,,,,,https://www.redfin.com/CA/San-Ysidro/168-W-Hall-Ave-92173/unit-167BL/home/6227743,,,N,Y,32.5544763,-117.0474654
